TransFactor	Target
AR	ZMYND11
AR	ZNF236
AR	ZNF354C
AR	ZNF407
AR	ZNF454
AR	ZNF471
AR	ZNF532
AR	ZNF582
AR	ZNF831
AR	ZNHIT1
ARID3A	KDM4B
ARID3A	SLC25A28
ARID3A	TCF3
ARID5B	AAK1
ARID5B	ABCA8
ARID5B	ABI3BP
ARID5B	ACE
ARID5B	ACOT8
ARID5B	ADAM28
ARID5B	AHCYL1
ARID5B	AHSA1
ARID5B	AIMP2
ARID5B	AP2S1
ARID5B	ARHGAP15
ARID5B	ARNT2
ARID5B	ASAP1
ARID5B	ATM
ARID5B	BBX
ARID5B	BMF
ARID5B	BOK
ARID5B	C10orf128
ARID5B	C2CD3
ARID5B	CARD8
ARID5B	CBFA2T2
ARID5B	CCDC124
ARID5B	CCDC85B
ARID5B	CCR5
ARID5B	CD53
ARID5B	CD69
ARID5B	CDCA4
ARID5B	CDK8
ARID5B	CHD1
ARID5B	CNTN3
ARID5B	CPEB3
ARID5B	CXCR6
ARID5B	DAAM2
ARID5B	DBH
ARID5B	DHRS4
ARID5B	DHRS4L2
ARID5B	DIABLO
ARID5B	DMD
ARID5B	DNMBP
ARID5B	DOCK9
ARID5B	DYRK1A
ARID5B	EBNA1BP2
ARID5B	ECM2
ARID5B	EIF2AK3
ARID5B	EIF3D
ARID5B	F12
ARID5B	FAM107B
ARID5B	FAM13C
ARID5B	FAM178A
ARID5B	FAM184A
ARID5B	FBXO30
ARID5B	FGR
ARID5B	FNDC3A
ARID5B	FOXN3
ARID5B	FOXP1
ARID5B	FRS2
ARID5B	GIMAP4
ARID5B	GNL1
ARID5B	GPR174
ARID5B	GPR21
ARID5B	GPR65
ARID5B	GTF3C6
ARID5B	HEATR5A
ARID5B	HGF
ARID5B	HN1
ARID5B	HSD17B10
ARID5B	IFI27L1
ARID5B	IL10RA
ARID5B	IL16
ARID5B	IL2RG
ARID5B	IMPDH1
ARID5B	INO80E
ARID5B	INPP4A
ARID5B	IPCEF1
ARID5B	ITSN2
ARID5B	KCNN3
ARID5B	KIAA1211
ARID5B	LBHD1
ARID5B	LEMD3
ARID5B	LIMS1
ARID5B	LSM2
ARID5B	LSM4
ARID5B	MAD2L2
ARID5B	MAPK8
ARID5B	MCM9
ARID5B	MEF2D
ARID5B	MGAT4A
ARID5B	MRPS21
ARID5B	MRPS33
ARID5B	MSL2
ARID5B	NBEA
ARID5B	NBPF1
ARID5B	NDUFB6
ARID5B	NDUFB7
ARID5B	NDUFC1
ARID5B	NDUFC2
ARID5B	NDUFS4
ARID5B	NME2
ARID5B	NPAT
ARID5B	NSMCE1
ARID5B	NUDT2
ARID5B	NUFIP2
ARID5B	OXR1
ARID5B	P2RY12
ARID5B	PDE4D
ARID5B	PFDN5
ARID5B	POU2F1
ARID5B	PPIAL4G
ARID5B	PPIB
ARID5B	PPIP5K2
ARID5B	PPP1R15B
ARID5B	PPP4C
ARID5B	PRDX1
ARID5B	PRKAR1A
ARID5B	RABAC1
ARID5B	RABGAP1L
ARID5B	RAPGEF1
ARID5B	RASSF8
ARID5B	RBM27
ARID5B	RBSN
ARID5B	RGAG4
ARID5B	RGL1
ARID5B	RIF1
ARID5B	RNASEK
ARID5B	RPL32
ARID5B	RUNX1T1
ARID5B	SAC3D1
ARID5B	SAMSN1
ARID5B	SATB1
ARID5B	SEC24D
ARID5B	SLAMF1
ARID5B	SLAMF6
ARID5B	SLC12A6
ARID5B	SLC16A7
ARID5B	SLC25A53
ARID5B	SLC2A10
ARID5B	SLC7A2
ARID5B	SLCO2B1
ARID5B	SMAP2
ARID5B	SNRK
ARID5B	SNRNP35
ARID5B	SNRPD2
ARID5B	SORBS1
ARID5B	SOX5
ARID5B	SPATA13
ARID5B	SYNE2
ARID5B	TAF1
ARID5B	TBC1D5
ARID5B	TCF4
ARID5B	TGFBRAP1
ARID5B	TMEM140
ARID5B	TMEM184C
ARID5B	TMEM30A
ARID5B	TMF1
ARID5B	TNRC6B
ARID5B	TNRC6C
ARID5B	TPI1
ARID5B	TRAPPC3
ARID5B	TXK
ARID5B	UBE2E3
ARID5B	UBE2J1
ARID5B	UBR1
ARID5B	UEVLD
ARID5B	UQCC2
ARID5B	UQCC3
ARID5B	USE1
ARID5B	USP54
ARID5B	UTRN
ARID5B	ZNF106
ARID5B	ZNF382
ARID5B	ZNF853
ARID5B	ZNHIT3
ARID5B	ZSWIM7
ARNT	AARSD1
ARNT	AATF
ARNT	ABCA9
ARNT	ACAA1
ARNT	ACAP2
ARNT	ACBD5
ARNT	ACVR2B
ARNT	ADAR
ARNT	ADCY9
ARNT	ADK
ARNT	AFF2
ARNT	AGAP3
ARNT	AGTRAP
ARNT	AKAP10
ARNT	AKAP12
ARNT	ALDH1A2
ARNT	ANKRD12
ARNT	ANKRD40
ARNT	AOC3
ARNT	APC
ARNT	ARFGEF2
ARNT	ARFIP2
ARNT	ARID2
ARNT	ARL6IP4
ARNT	ARMC6
ARNT	ARSB
ARNT	ATAD3A
ARNT	ATAD3B
ARNT	ATF4
ARNT	ATF6
ARNT	ATF7IP
ARNT	ATP5D
ARNT	ATP5E
ARNT	ATP6V0B
ARNT	ATP6V1A
ARNT	ATP7A
ARNT	ATPIF1
ARNT	ATXN1L
ARNT	BAX
ARNT	BCL6
ARNT	BCL7C
ARNT	BCOR
ARNT	BHMT2
ARNT	BLOC1S1
ARNT	BMP8B
ARNT	BMPR1A
ARNT	BMPR2
ARNT	BNC2
ARNT	BRCA2
ARNT	BROX
ARNT	BSG
ARNT	BTBD7
ARNT	C19orf24
ARNT	C19orf25
ARNT	C19orf48
ARNT	C19orf60
ARNT	C19orf70
ARNT	C1orf198
ARNT	C1orf86
ARNT	C20orf27
ARNT	C5orf51
ARNT	C9orf85
ARNT	CAMSAP2
ARNT	CAPN10
ARNT	CAPN7
ARNT	CASC5
ARNT	CASD1
ARNT	CBFA2T2
ARNT	CBL
ARNT	CBX5
ARNT	CBX6
ARNT	CCDC61
ARNT	CCM2
ARNT	CCNT1
ARNT	CD2BP2
ARNT	CD302
ARNT	CDC37
ARNT	CDK10
ARNT	CDON
ARNT	CELF1
ARNT	CEP350
ARNT	CHD4
ARNT	CHMP2A
ARNT	CHMP4A
ARNT	CHSY1
ARNT	CLASP1
ARNT	CLPP
ARNT	CLTC
ARNT	CMTM1
ARNT	CNPY2
ARNT	COG5
ARNT	COL8A1
ARNT	COLEC12
ARNT	COMMD4
ARNT	COPRS
ARNT	COPZ1
ARNT	COQ4
ARNT	CPEB1
ARNT	CPNE3
ARNT	CR1
ARNT	CREB3L2
ARNT	CSDE1
ARNT	CUL4B
ARNT	CUTA
ARNT	CYP1B1
ARNT	CYP2U1
ARNT	DAZAP1
ARNT	DCTPP1
ARNT	DCXR
ARNT	DDX59
ARNT	DENND5B
ARNT	DEPDC5
ARNT	DHPS
ARNT	DHX40
ARNT	DIDO1
ARNT	DLEU7
ARNT	DNAJC13
ARNT	DNAJC16
ARNT	DNAJC8
ARNT	DNLZ
ARNT	DNPH1
ARNT	DOCK1
ARNT	DOHH
ARNT	DRAP1
ARNT	DTYMK
ARNT	DVL1
ARNT	DYM
ARNT	DYRK1A
ARNT	EBPL
ARNT	EEA1
ARNT	EEF1D
ARNT	EEF2K
ARNT	EGLN2
ARNT	EIF3A
ARNT	EIF3K
ARNT	EIF4ENIF1
ARNT	EIF5AL1
ARNT	ELMO3
ARNT	EMC9
ARNT	EPB41L2
ARNT	EPC1
ARNT	ERBB2IP
ARNT	ERN1
ARNT	ERP29
ARNT	ETV1
ARNT	EWSR1
ARNT	FAM13A
ARNT	FAM168B
ARNT	FAM179B
ARNT	FAM208B
ARNT	FAM217B
ARNT	FAM63B
ARNT	FAM83F
ARNT	FAM96B
ARNT	FASTK
ARNT	FBXL15
ARNT	FDX1L
ARNT	FIS1
ARNT	FNDC3A
ARNT	FOXJ3
ARNT	FOXK1
ARNT	FRMD3
ARNT	FRMD6
ARNT	FUBP3
ARNT	FUT11
ARNT	GAR1
ARNT	GAS2L3
ARNT	GBE1
ARNT	GET4
ARNT	GIGYF2
ARNT	GLYR1
ARNT	GNA13
ARNT	GNG5
ARNT	GNS
ARNT	GPR176
ARNT	GRB10
ARNT	GRID1
ARNT	GSDMD
ARNT	GSE1
ARNT	GTF2A1
ARNT	GTF3C6
ARNT	GUK1
ARNT	GXYLT2
ARNT	HCFC2
ARNT	HDAC4
ARNT	HEATR1
ARNT	HECTD1
ARNT	HES4
ARNT	HINFP
ARNT	HNRNPUL1
ARNT	HOMER1
ARNT	HRSP12
ARNT	HSPE1
ARNT	HTR1F
ARNT	ILDR2
ARNT	INSR
ARNT	IP6K1
ARNT	IRAK3
ARNT	ISOC2
ARNT	ITGA8
ARNT	ITPRIPL2
ARNT	JMJD6
ARNT	KAT6B
ARNT	KCNQ3
ARNT	KIAA1024
ARNT	KIAA1715
ARNT	KIDINS220
ARNT	KIF2A
ARNT	KIFC2
ARNT	KLF11
ARNT	KLF13
ARNT	KLF16
ARNT	KLHL12
ARNT	KLHL28
ARNT	KLHL8
ARNT	LAMTOR4
ARNT	LATS2
ARNT	LPP
ARNT	LRIG2
ARNT	LRRC58
ARNT	MAPK1
ARNT	MAPRE2
ARNT	MARCH6
ARNT	MARCH8
ARNT	MED1
ARNT	MED13
ARNT	MED13L
ARNT	MEF2BNB
ARNT	MEF2D
ARNT	MEOX2
ARNT	METTL5
ARNT	MFAP3
ARNT	MFSD3
ARNT	MIEN1
ARNT	MITF
ARNT	MKKS
ARNT	MKL2
ARNT	MKLN1
ARNT	MMAB
ARNT	MOB2
ARNT	MPG
ARNT	MPLKIP
ARNT	MPST
ARNT	MRFAP1
ARNT	MRPL15
ARNT	MRPL27
ARNT	MRPL4
ARNT	MRPL48
ARNT	MRPS18A
ARNT	MRPS2
ARNT	MRPS33
ARNT	MRPS9
ARNT	MXD3
ARNT	MYDGF
ARNT	MYO9A
ARNT	NBEA
ARNT	NCOA6
ARNT	NDUFA3
ARNT	NDUFA7
ARNT	NDUFB1
ARNT	NDUFB10
ARNT	NDUFB2
ARNT	NDUFC2
ARNT	NDUFS1
ARNT	NDUFS6
ARNT	NEK1
ARNT	NFKBIB
ARNT	NHP2L1
ARNT	NIT2
ARNT	NME2
ARNT	NNT
ARNT	NOC2L
ARNT	NOL7
ARNT	NOP10
ARNT	NPM1
ARNT	NR1D2
ARNT	NR2F2
ARNT	NR3C1
ARNT	NRP1
ARNT	NSMCE4A
ARNT	NT5C3A
ARNT	NTMT1
ARNT	OAZ1
ARNT	OGFR
ARNT	PANK3
ARNT	PDCL3
ARNT	PDDC1
ARNT	PDP2
ARNT	PDPR
ARNT	PDS5A
ARNT	PFDN2
ARNT	PFDN6
ARNT	PFKFB3
ARNT	PFN1
ARNT	PHACTR2
ARNT	PHC3
ARNT	PHF20
ARNT	PHF20L1
ARNT	PHKG2
ARNT	PI4KA
ARNT	PIGM
ARNT	PINX1
ARNT	PKD2
ARNT	PLBD2
ARNT	PLEKHM3
ARNT	POGK
ARNT	POLR1A
ARNT	POLR2F
ARNT	POLR2L
ARNT	POMP
ARNT	PPA1
ARNT	PPIP5K2
ARNT	PPTC7
ARNT	PQBP1
ARNT	PRELID1
ARNT	PRKACB
ARNT	PRKAR2B
ARNT	PRKCZ
ARNT	PRKG1
ARNT	PSMD13
ARNT	PTPN11
ARNT	PTRH1
ARNT	PUF60
ARNT	PUS1
ARNT	PUS7L
ARNT	PUSL1
ARNT	QKI
ARNT	QTRT1
ARNT	RAB11FIP2
ARNT	RAB24
ARNT	RAB3GAP2
ARNT	RABAC1
ARNT	RALGAPA2
ARNT	RAN
ARNT	RANBP1
ARNT	RANGRF
ARNT	RASEF
ARNT	RBM15
ARNT	RBX1
ARNT	RC3H2
ARNT	RCAN3
ARNT	RGL1
ARNT	RGS16
ARNT	RLF
ARNT	RNASEK
ARNT	RNF181
ARNT	RNF38
ARNT	ROR1
ARNT	RPF2
