TransFactor	Target
AR	MIS18BP1
AR	MITF
AR	MMD2
AR	MR1
AR	MRPS25
AR	MUL1
AR	MYH7
AR	MYT1L
AR	MZT2A
AR	NAA11
AR	NADK
AR	NCF1
AR	NCLN
AR	NDUFB9
AR	NFU1
AR	NKAIN3
AR	NLRC5
AR	NOL3
AR	NPHP1
AR	NPL
AR	NSMCE1
AR	OLFM1
AR	PABPC4
AR	PALLD
AR	PDGFB
AR	PDGFD
AR	PDIA5
AR	PEPD
AR	PFDN4
AR	PGP
AR	PHC2
AR	PIANP
AR	PIGK
AR	PIK3C3
AR	PLEC
AR	PLEKHA5
AR	PMVK
AR	PPA1
AR	PRCD
AR	PRKCD
AR	PRKD3
AR	PRPSAP2
AR	PRR15
AR	PSMD13
AR	PSMG4
AR	PTPN7
AR	PTS
AR	PYGL
AR	RAP1A
AR	RASSF8
AR	RB1
AR	RCSD1
AR	REXO1
AR	RFX2
AR	RFX4
AR	RGS19
AR	RHBDL1
AR	RIMS1
AR	RNF182
AR	RPE65
AR	RRS1
AR	S1PR1
AR	SAV1
AR	SCP2
AR	SEC22B
AR	SEMA6C
AR	SERPINA1
AR	SFXN4
AR	SH3BP2
AR	SH3GLB2
AR	SHANK3
AR	SIGLEC11
AR	SIPA1L2
AR	SLAIN2
AR	SLC11A1
AR	SLC20A2
AR	SLC39A1
AR	SLCO2B1
AR	SMPD3
AR	SOGA3
AR	SORD
AR	SOX5
AR	SPATS2
AR	SPC25
AR	SRCIN1
AR	SRD5A1
AR	SREK1
AR	SRSF12
AR	SSBP2
AR	ST6GAL1
AR	STXBP3
AR	SULT1C4
AR	SWAP70
AR	SYCE2
AR	TCEAL1
AR	TCP11L2
AR	TERF2
AR	TESK1
AR	TGFB1
AR	TGIF1
AR	THTPA
AR	TIMP3
AR	TIPARP
AR	TKTL1
AR	TLE1
AR	TMEM161B
AR	TMEM173
AR	TNFAIP8L2
AR	TNFRSF1A
AR	TRPC3
AR	TRRAP
AR	TTC26
AR	TTF2
AR	TUBGCP2
AR	TYROBP
AR	UBE2E2
AR	UBE2Q1
AR	UBXN11
AR	UNC5A
AR	USP11
AR	USP53
AR	VAMP3
AR	VASH2
AR	VCAN
AR	VIM
AR	VPS13B
AR	WDR25
AR	WDR3
AR	WNT9B
AR	XPR1
AR	ZNF146
AR	ZNF17
AR	ZNF234
AR	ZNF302
AR	ZNF304
AR	ZNF341
AR	ZNF350
AR	ZNF436
AR	ZNF565
AR	ZNF569
AR	ZNF582
AR	ZNF592
AR	ZNF599
AR	ZNF607
AR	ZNF644
AR	ZNF766
AR	ZNF816
AR	ZNFX1
ARID3A	ACOT8
ARID3A	ACTR1B
ARID3A	ACYP2
ARID3A	ADAM17
ARID3A	ADCY7
ARID3A	ADPGK
ARID3A	AGO2
ARID3A	AKTIP
ARID3A	APOO
ARID3A	ARNT
