TransFactor	Target
ARID5B	MRPS21
ARID5B	MRPS33
ARID5B	MYCT1
ARID5B	MYH11
ARID5B	NDUFA6
ARID5B	NDUFB6
ARID5B	NDUFB7
ARID5B	NDUFC1
ARID5B	NDUFC2
ARID5B	NPAT
ARID5B	PPP4C
ARID5B	PRKAR1A
ARID5B	RAD23A
ARID5B	RBSN
ARID5B	RGL1
ARID5B	RUNX1T1
ARID5B	SAC3D1
ARID5B	SLC12A6
ARID5B	SMAP2
ARID5B	SNRK
ARID5B	SNRPD2
ARID5B	SOX5
ARID5B	STON1
ARID5B	TBC1D5
ARID5B	TCF4
ARID5B	TMEM119
ARID5B	TNRC6B
ARID5B	UQCC2
ARID5B	UQCC3
ARID5B	USP54
ARID5B	UTRN
ARID5B	YAP1
ARID5B	ZNF106
ARID5B	ZNHIT3
ARNT	ACVR2B
ARNT	ADAR
ARNT	ANKRD12
ARNT	ASNA1
ARNT	ATF6
ARNT	BCOR
ARNT	BID
ARNT	BROX
ARNT	C19orf24
ARNT	C19orf70
ARNT	C1orf198
ARNT	CAMSAP2
ARNT	CBFA2T2
ARNT	CENPM
ARNT	CEP350
ARNT	CHD1L
ARNT	CIB1
ARNT	CKLF
ARNT	CLK2
ARNT	CLPP
ARNT	DOCK1
ARNT	EIF4E
ARNT	EPC1
ARNT	ERCC6
ARNT	FADD
ARNT	FAM168B
ARNT	FOXJ3
ARNT	GIGYF2
ARNT	GPX1
ARNT	GSE1
ARNT	H2AFZ
ARNT	HECTD1
ARNT	HNRNPU
ARNT	KAT6B
ARNT	KIDINS220
ARNT	LAMTOR4
ARNT	MAPKAPK3
ARNT	MARCH8
ARNT	MBTD1
ARNT	MED13L
ARNT	MEF2D
ARNT	MPG
ARNT	NCOA6
ARNT	NFX1
ARNT	NOP10
ARNT	OAZ1
ARNT	PGAM1
ARNT	PHF5A
ARNT	PIGM
ARNT	PLEKHM3
ARNT	POGK
ARNT	PRELID1
ARNT	PSMD13
ARNT	RAB3GAP2
ARNT	RALGAPA2
ARNT	RNF38
ARNT	RNF7
ARNT	RRP7A
ARNT	SIRT1
ARNT	STRBP
ARNT	SYNRG
ARNT	TP53BP2
ARNT	TRAPPC5
ARNT	TSC1
ARNT	UBE2Q1
ARNT	UPF2
ARNT	UPP1
ARNT	UQCR11
ARNT	ZBTB40
ARNT	ZC3H11A
ARNT	ZFAND2A
ARNT	ZNF318
ARNT2	CRTC3
ARNT2	GAS7
ARNT2	LDLRAD4
ARNT2	MAPK10
ARNT2	RASSF2
ARNT2	ZNF853
ARNTL	CREBRF
ARNTL	TRIM22
ARNTL2	ABCC6
ARNTL2	ACADSB
ARNTL2	ADAM10
ARNTL2	ADGRV1
ARNTL2	ASPH
ARNTL2	ATG5
ARNTL2	C15orf41
ARNTL2	C15orf59
ARNTL2	CACNA1D
ARNTL2	CCNB1
ARNTL2	CCT6A
ARNTL2	CDK8
ARNTL2	CENPF
ARNTL2	CENPM
ARNTL2	CLK2
ARNTL2	DDX21
ARNTL2	EIF4EBP3
ARNTL2	GLB1L2
ARNTL2	H2AFZ
ARNTL2	HSD11B2
ARNTL2	IL12RB2
ARNTL2	ITGB1
ARNTL2	KANK1
ARNTL2	KCMF1
ARNTL2	KIF2A
ARNTL2	KPNA4
ARNTL2	LMF1
ARNTL2	LUC7L3
ARNTL2	MAPRE1
ARNTL2	MICAL3
ARNTL2	MXD4
ARNTL2	NAA15
ARNTL2	NOD1
ARNTL2	PARPBP
ARNTL2	PKM
ARNTL2	PLBD1
ARNTL2	RAB40C
ARNTL2	RHOBTB2
ARNTL2	RHOU
ARNTL2	SERPINE1
ARNTL2	SETD4
ARNTL2	SKA3
ARNTL2	SLC20A1
ARNTL2	SLC38A1
ARNTL2	TMEM108
ARNTL2	TRPA1
