TransFactor	Target
CEBPD	JUNB
CEBPD	KLF6
CEBPD	MAFF
CEBPD	NCOA7
CEBPD	NFKBIA
CEBPD	NFKBIZ
CEBPD	NNMT
CEBPD	OSM
CEBPD	SOCS3
CEBPD	SOD2
CEBPD	ZC3H12A
CEBPD	ZFP36
CEBPE	FCGR1A
CEBPZ	DHX57
CEBPZ	FBXO11
CEBPZ	HNRNPLL
CEBPZ	MCFD2
CEBPZ	PPM1B
CEBPZ	SLC30A6
CEBPZ	TTC27
CENPB	PSMF1
CREB1	ABI2
CREB1	ADNP
CREB1	ALS2
CREB1	ARID2
CREB1	ASS1
CREB1	ATF2
CREB1	BAZ2B
CREB1	BCL9
CREB1	BMPR2
CREB1	CBR1
CREB1	CCNJ
CREB1	CCNYL1
CREB1	CLASP1
CREB1	CUL3
CREB1	CWC22
CREB1	EPC2
CREB1	FAM117B
CREB1	FASTKD2
CREB1	FBXO11
CREB1	FOXP4
CREB1	GIGYF2
CREB1	GXYLT1
CREB1	INO80D
CREB1	JARID2
CREB1	KANSL1L
CREB1	KDM5B
CREB1	KIDINS220
CREB1	KLF12
CREB1	LANCL1
CREB1	LRP6
CREB1	METTL21A
CREB1	MEX3A
CREB1	NUCKS1
CREB1	ORC2
CREB1	PAPOLG
CREB1	PCNXL4
CREB1	PIKFYVE
CREB1	PLEKHM3
CREB1	PMM1
CREB1	POGZ
CREB1	SF3B1
CREB1	SP3
CREB1	TET1
CREB1	TNKS2
CREB1	TRIP12
CREB1	USP37
CREB1	XRCC5
CREB1	ZDHHC24
CREB1	ZKSCAN8
CREB1	ZNF142
CREB1	ZNF518A
CREB3	APTX
CREB3	CCDC107
CREB3	CHMP5
CREB3	DCTN3
CREB3	GALT
CREB3	NDUFB6
CREB3	PIGO
CREB3	PLGRKT
CREB3	RRAGA
CREB3	SLC25A51
CREB3	TOMM5
CREB3	UBAP1
CREB3	VCP
CREB3L1	ADAM12
CREB3L1	AGTR1
CREB3L1	ANGPTL2
CREB3L1	CHRD
CREB3L1	CNTN1
CREB3L1	COPZ2
CREB3L1	FAP
CREB3L1	FILIP1L
CREB3L1	HIC1
CREB3L1	HTRA3
CREB3L1	IGFBP4
CREB3L1	LOX
CREB3L1	MAGEL2
CREB3L1	MMP2
CREB3L1	MSRB3
CREB3L1	PODN
CREB3L1	PRRX1
CREB3L1	RASGRF2
CREB3L1	RCN3
CREB3L1	SORCS2
CREB3L1	SPARC
CREB3L1	TMEM204
CREB3L1	ZEB1
CREM	ARL5B
CREM	HSPA14
CREM	MASTL
CSTA	BATF
CSTA	CD53
CTCF	ANKRD11
CTCF	AP1G1
CTCF	ATXN1L
CTCF	CBFB
CTCF	DDX19A
CTCF	DHX9
CTCF	DYNC1LI2
CTCF	ESRP2
CTCF	GLG1
CTCF	HNRNPU
CTCF	HSDL1
CTCF	IST1
CTCF	MBTPS1
CTCF	NFATC3
CTCF	PRRC2A
CTCF	RANBP10
CTCF	SLC7A6OS
CTCF	TERF2
CTCF	ZCCHC14
CTCF	ZFHX3
CTCF	ZNF23
CUX2	SALL1
E2F1	ARHGEF39
E2F1	ASF1B
E2F1	AURKA
E2F1	AURKB
E2F1	BIRC5
E2F1	BLM
E2F1	BRIP1
E2F1	BUB1B
E2F1	C16orf59
E2F1	C17orf53
E2F1	C5orf34
E2F1	CCNA2
E2F1	CCNB2
E2F1	CCNE1
E2F1	CCNF
E2F1	CDC20
E2F1	CDC25A
E2F1	CDC25B
E2F1	CDC25C
E2F1	CDC45
E2F1	CDC6
E2F1	CDCA3
E2F1	CDCA5
E2F1	CDCA8
E2F1	CDK1
E2F1	CENPA
E2F1	CENPK
E2F1	CENPM
E2F1	CENPN
E2F1	CENPO
E2F1	CENPW
E2F1	CEP55
