TransFactor	Target
ATF2	EDF1
ATF2	EDIL3
ATF2	EEF1D
ATF2	EFCAB14
ATF2	EIF2AK3
ATF2	EIF3A
ATF2	EIF3K
ATF2	EIF4EBP3
ATF2	ELF1
ATF2	ELK3
ATF2	ELOF1
ATF2	EMC9
ATF2	ENDOG
ATF2	ENTPD4
ATF2	EP300
ATF2	EPB41L5
ATF2	EPC1
ATF2	EPG5
ATF2	ERCC4
ATF2	ERCC6L2
ATF2	ERN1
ATF2	ESCO1
ATF2	ETFB
ATF2	ETV3
ATF2	EXD2
ATF2	EXOC5
ATF2	EXOC6B
ATF2	EXOSC4
ATF2	EXOSC5
ATF2	EYA3
ATF2	FAM134C
ATF2	FAM161B
ATF2	FAM168A
ATF2	FAM168B
ATF2	FAM179B
ATF2	FAM208B
ATF2	FAM50A
ATF2	FAM63B
ATF2	FAM73A
ATF2	FAM96B
ATF2	FAM98B
ATF2	FANCM
ATF2	FASTK
ATF2	FAU
ATF2	FBXO21
ATF2	FDX1L
ATF2	FIS1
ATF2	FKBP14
ATF2	FKBP2
ATF2	FKBP8
ATF2	FOXJ3
ATF2	FRRS1
ATF2	FUBP1
ATF2	FUBP3
ATF2	FUT11
ATF2	GABARAP
ATF2	GADD45GIP1
ATF2	GATC
ATF2	GCC2
ATF2	GLS
ATF2	GMCL1
ATF2	GNG5
ATF2	GOLGA4
ATF2	GOLIM4
ATF2	GON4L
ATF2	GORASP2
ATF2	GPATCH11
ATF2	GPATCH2L
ATF2	GPATCH8
ATF2	GPR176
ATF2	GSTCD
ATF2	GTF2A1
ATF2	GTF2H3
ATF2	GTF2I
ATF2	GTF3C3
ATF2	GTF3C4
ATF2	GUK1
ATF2	HACD2
ATF2	HCFC1R1
ATF2	HEATR1
ATF2	HEATR5A
ATF2	HEATR5B
ATF2	HECTD1
ATF2	HECTD4
ATF2	HELB
ATF2	HIGD2A
ATF2	HINT2
ATF2	HIP1
ATF2	HIPK1
ATF2	HIPK3
ATF2	HIVEP1
ATF2	HMGXB4
ATF2	HNRNPA1
ATF2	HOMER1
ATF2	HRAS
ATF2	HSPBP1
ATF2	HYPK
ATF2	IDE
ATF2	IFT43
ATF2	IL6ST
ATF2	INAFM1
ATF2	INO80E
ATF2	INTS2
ATF2	IPMK
ATF2	IPP
ATF2	IREB2
ATF2	IRF3
ATF2	ISG20L2
ATF2	ISOC2
ATF2	ITCH
ATF2	JMJD1C
ATF2	JOSD2
ATF2	KANSL1
ATF2	KAT6A
ATF2	KAT6B
ATF2	KAT7
ATF2	KBTBD4
ATF2	KBTBD7
ATF2	KCTD20
ATF2	KDM3B
ATF2	KIAA0196
ATF2	KIAA0586
ATF2	KIAA1033
ATF2	KIAA1958
ATF2	KIAA2018
ATF2	KIF13A
ATF2	KIF14
ATF2	KIF20B
ATF2	KIF21A
ATF2	KIF27
ATF2	KIF2A
ATF2	KLF7
ATF2	KLHDC10
ATF2	KLHL11
ATF2	KLHL20
ATF2	KLHL23
ATF2	KLHL28
ATF2	KLHL8
ATF2	KMT2C
ATF2	KMT2E
ATF2	KRTCAP2
ATF2	LAMTOR2
ATF2	LAMTOR4
ATF2	LAMTOR5
ATF2	LATS1
ATF2	LBHD1
ATF2	LCOR
ATF2	LENG1
ATF2	LEPROT
ATF2	LIMS1
ATF2	LIN37
ATF2	LIN52
ATF2	LMBRD2
ATF2	LMTK2
ATF2	LNPEP
ATF2	LONP2
ATF2	LRCH3
ATF2	LRIG2
ATF2	LRRC16A
ATF2	LSM5
ATF2	LSM7
ATF2	LSM8
ATF2	LTN1
ATF2	LYSMD4
ATF2	MAGOH
ATF2	MALSU1
ATF2	MAML2
ATF2	MAN1A2
ATF2	MAP3K7
ATF2	MAPK1
ATF2	MAPK8
ATF2	MARS2
ATF2	MB21D1
ATF2	MBD5
ATF2	MCM4
ATF2	MDN1
ATF2	MED1
ATF2	MED13
ATF2	MED23
ATF2	METTL14
ATF2	MFAP3
ATF2	MFSD5
ATF2	MGA
ATF2	MGAT5
ATF2	MIIP
ATF2	MINOS1
ATF2	MIS18BP1
ATF2	MOB1A
ATF2	MPHOSPH9
ATF2	MPZL3
ATF2	MRPL14
ATF2	MRPL20
ATF2	MRPL21
ATF2	MRPL22
ATF2	MRPL27
ATF2	MRPL28
ATF2	MRPL40
ATF2	MRPL47
ATF2	MRPL51
ATF2	MRPL52
ATF2	MRPL53
ATF2	MRPL54
ATF2	MRPL55
ATF2	MRPS11
ATF2	MRPS15
ATF2	MRPS17
ATF2	MRPS24
ATF2	MRPS34
ATF2	MTOR
ATF2	MTR
ATF2	MUT
ATF2	MVB12A
ATF2	MXD3
ATF2	MYEOV2
ATF2	MYL6
ATF2	MYO9A
ATF2	MYSM1
ATF2	MZT2B
ATF2	N4BP2
ATF2	NAA38
ATF2	NAPA
ATF2	NBEAL1
ATF2	NCOA2
ATF2	NDC1
ATF2	NDUFA1
ATF2	NDUFA11
ATF2	NDUFA12
ATF2	NDUFA13
ATF2	NDUFA2
ATF2	NDUFA7
ATF2	NDUFB1
ATF2	NDUFB10
ATF2	NDUFB11
ATF2	NDUFB2
ATF2	NDUFB7
ATF2	NDUFB9
ATF2	NDUFC1
ATF2	NDUFS1
ATF2	NDUFS3
ATF2	NDUFS5
ATF2	NDUFS7
ATF2	NDUFV2
ATF2	NEK1
ATF2	NEMF
ATF2	NEU3
ATF2	NF1
ATF2	NFATC2
ATF2	NFXL1
ATF2	NHLRC2
ATF2	NHP2
ATF2	NIPAL1
