TransFactor	Target
AR	MSC
AR	MSX1
AR	MT2A
AR	MTIF3
AR	MYNN
AR	MZT2A
AR	NAA20
AR	NAPEPLD
AR	NBEA
AR	NBR1
AR	NCLN
AR	NDUFB4
AR	NDUFB9
AR	NDUFS6
AR	NEBL
AR	NEDD9
AR	NOS1
AR	NPR3
AR	NSMCE1
AR	NUBPL
AR	NUCB2
AR	PABPC4L
AR	PACSIN2
AR	PCCA
AR	PDCD5
AR	PDGFD
AR	PDRG1
AR	PEG10
AR	PFDN4
AR	PGP
AR	PGS1
AR	PHAX
AR	PHF20
AR	PHF5A
AR	PHKG2
AR	PHPT1
AR	PIK3C3
AR	PIK3R1
AR	PIN4
AR	PLP2
AR	PLS1
AR	PMM2
AR	POLR2B
AR	POLR2I
AR	POLR2J
AR	PPCDC
AR	PPIA
AR	PPTC7
AR	PRKACA
AR	PRKACB
AR	PRKD3
AR	PRSS53
AR	PSMB4
AR	PSMD13
AR	PSME2
AR	PSMG4
AR	PTCD2
AR	PTCH1
AR	PTPRA
AR	PTPRK
AR	PTS
AR	PUS7L
AR	RAB13
AR	RAB19
AR	RAB40AL
AR	RABEPK
AR	RABL3
AR	RAD9A
AR	RASGRF2
AR	RASSF1
AR	RASSF8
AR	RB1
AR	RBM7
AR	RBMX2
AR	RCBTB1
AR	REXO1
AR	RFX3
AR	RGL4
AR	RGS19
AR	RNF41
AR	RPL6
AR	RPS6KA3
AR	RPS9
AR	RUSC1
AR	S1PR1
AR	SAPCD1
AR	SDR39U1
AR	SEC13
AR	SERINC3
AR	SETD3
AR	SGK1
AR	SGMS2
AR	SH3D19
AR	SH3GLB2
AR	SIAE
AR	SIK2
AR	SIVA1
AR	SLC10A6
AR	SLC18A2
AR	SLC22A24
AR	SLC31A1
AR	SLC35E1
AR	SLC35G5
AR	SLFN5
AR	SMARCAD1
AR	SMARCD3
AR	SMPD4
AR	SNRNP70
AR	ST13
AR	ST20
AR	STRADA
AR	STT3B
AR	STX8
AR	SULT1C4
AR	SUV39H1
AR	SWAP70
AR	TACC1
AR	TAF3
AR	TAZ
AR	TBC1D16
AR	TBCB
AR	TBX19
AR	TCP11L2
AR	TEN1
AR	TERF2
AR	TESK1
AR	TGIF1
AR	THAP4
AR	TMEM200A
AR	TMEM38B
AR	TMSB10
AR	TNFSF15
AR	TNKS
AR	TNPO3
AR	TP53I13
AR	TRAPPC11
AR	TRAPPC5
AR	TRRAP
AR	TTC26
AR	TTC33
AR	UBE2T
AR	UBE2V1
AR	UBE3C
AR	UBXN1
AR	UGT2A3
AR	UQCC3
AR	USP25
AR	USP39
AR	USP53
AR	VAMP3
AR	VPS13B
AR	WDR13
AR	WDR3
AR	WDR72
AR	XPR1
AR	YIPF5
AR	YPEL3
AR	ZBTB20
AR	ZKSCAN2
AR	ZMYND11
AR	ZNF205
AR	ZNF304
AR	ZNF341
AR	ZNF354C
AR	ZNF358
AR	ZNF407
AR	ZNF510
AR	ZNF592
AR	ZNF707
AR	ZNHIT1
AR	ZNHIT2
ARID3A	A1CF
ARID3A	ABCD3
ARID3A	ABHD17B
ARID3A	ACAD11
