TransFactor	Target
ATF1	DUS4L
ATF1	DVL1
ATF1	DYNLT3
ATF1	DYRK1A
ATF1	E4F1
ATF1	EDEM3
ATF1	EDF1
ATF1	EFCAB14
ATF1	EFR3A
ATF1	EIF1AX
ATF1	EIF2A
ATF1	EIF2AK3
ATF1	EIF2B4
ATF1	EIF3A
ATF1	EIF4E
ATF1	EIF4EBP2
ATF1	ELF1
ATF1	ELK4
ATF1	ELMSAN1
ATF1	ELOF1
ATF1	ENOX2
ATF1	EPN1
ATF1	EPRS
ATF1	EPS15
ATF1	ERGIC2
ATF1	ESCO1
ATF1	ETF1
ATF1	ETV2
ATF1	EVI5
ATF1	EXO1
ATF1	FAF2
ATF1	FAM102B
ATF1	FAM135A
ATF1	FAM210A
ATF1	FAM220A
ATF1	FAM50A
ATF1	FAM60A
ATF1	FAM72A
ATF1	FAM72B
ATF1	FAM72D
ATF1	FAM73A
ATF1	FAM76B
ATF1	FAM96A
ATF1	FAR1
ATF1	FASTKD3
ATF1	FAU
ATF1	FBXO11
ATF1	FBXO28
ATF1	FBXO34
ATF1	FBXO45
ATF1	FCF1
ATF1	FKBP2
ATF1	FKBP8
ATF1	FNBP1L
ATF1	FOXJ3
ATF1	FOXO3
ATF1	FZR1
ATF1	G3BP1
ATF1	G3BP2
ATF1	GAK
ATF1	GAN
ATF1	GART
ATF1	GGA1
ATF1	GLO1
ATF1	GNAI3
ATF1	GOLGA5
ATF1	GOLPH3
ATF1	GOLT1B
ATF1	GPALPP1
ATF1	GPBP1
ATF1	GPBP1L1
ATF1	GPR108
ATF1	GPR137
ATF1	GPR89B
ATF1	GPX4
ATF1	GSK3B
ATF1	GSTCD
ATF1	GTF2E1
ATF1	GTF2F1
ATF1	GTF2H1
ATF1	GTF2H3
ATF1	GTPBP10
ATF1	GUK1
ATF1	HAT1
ATF1	HAUS2
ATF1	HAUS6
ATF1	HBS1L
ATF1	HINT3
ATF1	HLTF
ATF1	HMGCS1
ATF1	HMMR
ATF1	HNRNPF
ATF1	HNRNPH2
ATF1	HNRNPU
ATF1	HOMER1
ATF1	HSD11B1L
ATF1	HSPA13
ATF1	HSPA14
ATF1	HSPBP1
ATF1	HTATSF1
ATF1	IARS
ATF1	ICE1
ATF1	IDH3G
ATF1	IDI1
ATF1	IFT43
ATF1	INAFM1
ATF1	ING3
ATF1	INIP
ATF1	INO80E
ATF1	IPO11
ATF1	IPO5
ATF1	IPO7
ATF1	IPP
ATF1	ITCH
ATF1	ITGAV
ATF1	JOSD2
ATF1	KAT7
ATF1	KCTD20
ATF1	KCTD9
ATF1	KDM1B
ATF1	KDM5A
ATF1	KDM6A
ATF1	KIAA0196
ATF1	KIAA0895L
ATF1	KIAA1143
ATF1	KIAA1715
ATF1	KIAA2026
ATF1	KIF15
ATF1	KIF18A
ATF1	KIF20B
ATF1	KLHDC4
ATF1	KLHL15
ATF1	KLHL28
ATF1	KPNA4
ATF1	KPNA6
ATF1	KPNB1
ATF1	LARP7
ATF1	LCAT
ATF1	LCLAT1
ATF1	LCMT1
ATF1	LEMD3
ATF1	LENG9
ATF1	LIN37
ATF1	LIN52
ATF1	LIN54
ATF1	LIN7C
ATF1	LMBR1L
ATF1	LMBRD1
ATF1	LMBRD2
ATF1	LMF2
ATF1	LPP
ATF1	LRIF1
ATF1	LRRC29
ATF1	LRRC40
ATF1	LRRC57
ATF1	LRSAM1
ATF1	LSM10
ATF1	LTN1
ATF1	LUC7L2
ATF1	LYRM7
ATF1	LYSMD3
ATF1	M6PR
ATF1	MAGT1
ATF1	MAP1LC3A
ATF1	MAP2K1
ATF1	MAP3K7
ATF1	MAPK1IP1L
ATF1	MAPK6
ATF1	MAPKAPK5
ATF1	MAPRE1
ATF1	MARCH5
ATF1	MARCH7
ATF1	MASTL
ATF1	MBD3
ATF1	MBIP
ATF1	MCM10
ATF1	MED14
ATF1	MED15
ATF1	METTL14
ATF1	METTL2B
ATF1	METTL4
ATF1	MEX3C
ATF1	MFSD10
ATF1	MGA
ATF1	MIB2
ATF1	MIF
ATF1	MMGT1
ATF1	MOB1B
ATF1	MORF4L1
ATF1	MOSPD3
ATF1	MPG
ATF1	MPND
ATF1	MRPL19
ATF1	MRPL55
ATF1	MTPAP
ATF1	MTRR
ATF1	MTX1
ATF1	MUT
ATF1	MVD
ATF1	MYNN
ATF1	MZT2A
ATF1	MZT2B
ATF1	NAA35
ATF1	NAA60
ATF1	NAF1
ATF1	NAMPT
ATF1	NARF
ATF1	NARFL
ATF1	NARS
