TransFactor	Target
AR	CADPS2
AR	CALML6
AR	CAP1
AR	CAPN3
AR	CAPN7
AR	CARHSP1
AR	CARS
AR	CASD1
AR	CASP8
AR	CASZ1
AR	CAT
AR	CBLB
AR	CCDC121
AR	CCDC171
AR	CCDC47
AR	CCDC85B
AR	CCDC88B
AR	CCDC96
AR	CCNK
AR	CCNT2
AR	CCSAP
AR	CD63
AR	CDC14B
AR	CDC5L
AR	CDH1
AR	CDYL
AR	CDYL2
AR	CENPL
AR	CEP131
AR	CEP192
AR	CEP295
AR	CEP44
AR	CEP68
AR	CEP97
AR	CHADL
AR	CHCHD2
AR	CHEK1
AR	CHML
AR	CISD3
AR	CLASP2
AR	CLEC16A
AR	CLIC3
AR	CLK3
AR	CLVS2
AR	CNTN1
AR	COA3
AR	COMMD4
AR	COMT
AR	COPS6
AR	COPZ1
AR	COX17
AR	COX5B
AR	COX7B
AR	CPED1
AR	CPNE1
AR	CREBRF
AR	CRK
AR	CRTC2
AR	CSDE1
AR	CSNK2B
AR	CST3
AR	CTCFL
AR	CUTC
AR	CYB5R4
AR	CYC1
AR	DAG1
AR	DAGLA
AR	DARS2
AR	DDX39B
AR	DDX3X
AR	DDX56
AR	DEF6
AR	DENND6A
AR	DGKH
AR	DHPS
AR	DHX36
AR	DIEXF
AR	DNAJB12
AR	DPCD
AR	DPM2
AR	DPY19L3
AR	DRG2
AR	DSP
AR	DST
AR	DTNB
AR	ECI1
AR	EDF1
AR	EGFL7
AR	EIF2AK3
AR	EIF3B
AR	EIF4G1
AR	EIF4G3
AR	ELK4
AR	ELOVL7
AR	EPHA3
AR	EPN1
AR	ERC1
AR	ETFB
AR	EVA1C
AR	F13A1
AR	FAM160B1
AR	FAM178A
AR	FAM195B
AR	FAM198B
AR	FAM205A
AR	FANCM
AR	FBRSL1
AR	FBXO21
AR	FCGRT
AR	FDX1
AR	FDXR
AR	FILIP1
AR	FKTN
AR	FMNL2
AR	FNDC3B
AR	FOXP2
AR	FUT4
AR	GALK1
AR	GBF1
AR	GHRL
AR	GLOD5
AR	GMPPA
AR	GNAL
AR	GNRH1
AR	GOLGB1
AR	GOPC
AR	GPANK1
AR	GPATCH3
AR	GPR173
AR	GPRASP2
AR	GSDMD
AR	GSR
AR	GSTK1
AR	GTF2B
AR	GTF2F1
AR	GTF3C6
AR	GUCY1A3
AR	GXYLT1
AR	GYPC
AR	HABP4
AR	HCAR1
AR	HCST
AR	HEATR1
AR	HELB
AR	HELZ
AR	HIST1H2AK
AR	HLTF
AR	HM13
AR	HMGCS1
AR	HMGN3
AR	HNRNPUL1
AR	HOXA6
AR	HSPA4
AR	HSPB11
AR	IFITM2
AR	IFITM3
AR	IFT43
AR	IGBP1
AR	IKZF5
AR	IL17RC
AR	INPP5F
AR	IPO11
AR	IRF6
AR	ITGA6
AR	ITGB3
AR	ITPR2
AR	JMJD4
AR	KANK3
AR	KAT2B
AR	KAT8
AR	KCNK7
AR	KCNQ4
AR	KCTD17
AR	KDELR1
AR	KDM2A
AR	KIAA0368
AR	KIAA1598
AR	KIAA2026
AR	KLHL15
AR	KLHL23
AR	KLHL8
AR	KLHL9
AR	KRT10
AR	KRT8
AR	KRTAP5-9
AR	LAMA2
AR	LAMC1
AR	LAMP2
AR	LARP1B
AR	LAT
AR	LBHD1
AR	LCAT
AR	LCN10
AR	LCN12
AR	LCN6
AR	LCNL1
AR	LDOC1L
AR	LEMD2
AR	LEPROT
AR	LHX4
AR	LIMA1
AR	LPIN2
AR	LPP
AR	LRRC27
AR	LSM1
AR	LTBR
AR	MAD1L1
AR	MAD2L1BP
AR	MAD2L2
AR	MAMDC4
AR	MAP3K13
AR	MAP3K7
AR	MAPK6
AR	MAPK8
AR	MATR3
AR	MCM9
AR	MED13
AR	MED25
AR	MED30
AR	METTL2B
AR	MFAP3L
AR	MGAT5
AR	MIEN1
AR	MIS18BP1
AR	MKKS
AR	MLF2
AR	MLPH
AR	MMP23B
AR	MRPL9
AR	MRPS18A
AR	MRPS25
AR	MSL2
AR	MSX1
AR	MTCH1
AR	MTIF3
AR	MYNN
AR	MYRIP
AR	MZT2A
AR	NAA20
AR	NAPEPLD
AR	NBEA
AR	NBR1
AR	NCEH1
AR	NCLN
AR	NDUFB6
AR	NDUFB9
AR	NDUFS6
AR	NFU1
AR	NOL3
AR	NOL4L
AR	NOS1
AR	NOS1AP
AR	NSMCE1
AR	NUBPL
AR	NXN
AR	OAZ3
AR	OXCT2
AR	OXR1
AR	P2RY4
AR	PABPC4L
AR	PACSIN2
AR	PAK3
AR	PANX1
AR	PARP11
AR	PARVB
AR	PDCD5
AR	PDRG1
AR	PEBP1
AR	PERM1
AR	PEX5L
AR	PFDN4
AR	PGP
AR	PHAX
AR	PHC2
AR	PHF20
AR	PHF5A
AR	PHKA1
AR	PHKG2
AR	PHPT1
AR	PIGK
AR	PIK3C3
AR	PIK3R1
AR	PIN4
AR	PKN1
AR	PLEKHA5
AR	PLS1
AR	PMVK
AR	POGZ
AR	POLD1
AR	POLR2B
AR	POLR2I
AR	POLR2J
AR	PPCDC
AR	PPIA
AR	PPIG
AR	PPTC7
AR	PRKD3
AR	PRRC2A
AR	PSMB4
AR	PSMD13
AR	PSME2
AR	PSMG4
AR	PTCD2
AR	PTCH1
AR	PTPN3
AR	PTPRA
AR	PTPRJ
AR	PTPRK
AR	PTS
AR	PUS7L
AR	RAB13
AR	RAB19
AR	RAB20
AR	RABEPK
AR	RABL3
AR	RAD9A
AR	RAI1
AR	RALGAPA1
AR	RALGPS2
AR	RASSF1
AR	RASSF8
AR	RB1
AR	RBMX2
AR	RCBTB1
AR	RFX3
AR	RGS7BP
AR	RHBDL1
AR	RNASEH1
AR	RNF130
AR	RNF214
AR	RNF4
AR	RNF41
AR	RNF5
AR	RNH1
AR	ROGDI
AR	RPA2
AR	RPAP1
AR	RPL10
AR	RPL6
AR	RPLP0
AR	RPS5
AR	RPS6KA3
AR	RPS9
AR	RRP7A
AR	SACS
AR	SAMD11
AR	SAPCD1
AR	SCRN2
