FDX1	LIAS	LIPT1	DLD	DLAT	PDHA1	PDHB	MTF1	GLS	CDKN2A
				KLF16	FOXP2		ATF2	ATF2	RUNX3
				MAX	KLF8		CREB1	CREB1	SP2
				MESP1	NFIC		CTCF	GABPB1	SP3
				NFATC1	NFKB1		ELF1	REST	SP4
				NFIC	NR3C1		ELK3	SP3	SPI1
				NR2C2	REST		ELK4	SP4	SPIB
				REST	SP1		EP300	TCF12	SREBF1
				RFX5	SP2		ETV3	YY1	STAT1
				RREB1	SP4		GABPA	ZNF143	TCF3
				SIX5	TCF12		HSF1	ATF2	TFAP2A
				SOX15	TCF4		NFIC	BHLHE40	TFAP2C
				SOX18	ZFX		NFKB1	CUX1	TFCP2
				SP1	ATF1		REST	ELF1	TGIF1
				SP3	BACH1		RFX3	EP300	USF1
				SP4	BHLHE40		RFXANK	FOSL2	ZBTB7A
				TCF12	CSTA		SMARCC1	FOXA1	ZNF148
				YY1	CUX2		SP2	GATA3	CEBPB
				ZNF143	E2F3		SP4	MAZ	
				ZNF281	ELF1		TCF12	MYBL1	
				ZNF524	ESRRA		ATF2	MYC	
				ALX3	ESRRB		BRCA1	NFKB1	
				ATF2	GATA2		CEBPG	NFYA	
				BACH1	GATA3		CREB1	NFYC	
				CEBPB	GLI2		ELF1	PBX3	
				CREB1	HLF		ELF4	REST	
				CREB3	IRF1		ELK3	RFX5	
				E2F4	KLF16		ELK4	RUNX2	
				E2F6	KLF5		ETV3	SP1	
				ELF1	KLF8		ETV5	SP3	
				EP300	MAZ		ETV6	STAT1	
				GABPB1	MESP1		FLI1	TCF12	
				HIF1A	MXI1		FOXP2	TEAD4	
				JUND	NFKB1		GMEB2	TFAP2C	
				KLF13	NFYA		INSM1	UBTF	
				MAZ	NR1I3		JUN	USF2	
				MESP1	ONECUT2		MAZ	ZBTB7C	
				NFIC	RARA		NFATC1	ZNF143	
				NFKB1	RARG		NFIC	CREB1	
				NR2C2	SP1		NFKB1	ETS1	
				NRF1	TCF12		NFYA	FOXA2	
				RARG	TCF3		NR2F1	GABPB1	
				REST	TCF7		PAX5	SP3	
				RFX5	TCF7L1		PLAG1	SP4	
				RREB1			POU2F2	STAT1	
				SIX5			PTF1A	YY1	
				SOX15			REST		
				SOX18			RFX2		
				SP3			RFX3		
				SP4			RFX4		
				TCF12			RXRB		
				TCF3			SIX5		
				TFAP2E			SOX9		
				UBTF			SP1		
				YY1			SP2		
				ZNF281			SPI1		
				ZNF524			STAT5A		
				ATF2			UBTF		
				BACH1			USF1		
				CREB1			USF2		
				ELF1			YY1		
				GABPB1			ELF4		
				HIF1A			ELK4		
				NR2C2			EP300		
				NRF1			ETV2		
				SIX5			ETV3		
				SP3			NFIC		
				SP4			REST		
				ZNF281			RFXANK		
				ZNF524			RXRA		
							SP1		
							SP2		
							USF1		
							ZBTB7A		
							ATF1		
							ATF2		
							BRCA1		
							CREB1		
							CTCF		
							ELF1		
							ELK1		
							ELK3		
							ELK4		
							EP300		
							ETS1		
							ETV2		
							ETV3		
							FOSL2		
							FOXP2		
							GABPA		
							GABPB2		
							HINFP		
							HSF1		
							MAZ		
							NFIC		
							NFKB1		
							NFYA		
							REST		
							RFX3		
							RFX5		
							RFXANK		
							SIX5		
							SMARCC1		
							SP1		
							SP2		
							SP4		
							STAT1		
							TCF12		
							USF1		
							USF2		
							ZNF143		
							RFXANK		
							ATF1		
							ATF2		
							CEBPB		
							CREB1		
							CTCF		
							ELF1		
							ELK3		
							ELK4		
							EP300		
							ETS1		
							ETV2		
							ETV3		
							FOSL2		
							FOXP2		
							GABPA		
							GABPB1		
							GABPB2		
							HSF1		
							JUND		
							MAZ		
							NFIC		
							NFKB1		
							NFYA		
							REST		
							RFX3		
							RFX5		
							RFXANK		
							SIX5		
							SMARCC1		
							SP1		
							SP2		
							SP4		
							TCF12		
							THAP1		
							USF1		
							USF2		
							ZNF143		
							ATF2		
							ELK3		
							EP300		
							ETV2		
							ETV3		
							JUND		
							NFKB1		
							REST		
							RFX3		
							SP2		
