TransFactor	Target
ATF2	BROX
ATF2	BRPF3
ATF2	BTAF1
ATF2	BUD31
ATF2	C11orf30
ATF2	C11orf31
ATF2	C12orf10
ATF2	C12orf57
ATF2	C12orf66
ATF2	C14orf2
ATF2	C15orf61
ATF2	C16orf13
ATF2	C17orf49
ATF2	C17orf59
ATF2	C18orf21
ATF2	C19orf24
ATF2	C19orf25
ATF2	C19orf43
ATF2	C19orf53
ATF2	C19orf60
ATF2	C19orf70
ATF2	C1orf35
ATF2	C1orf50
ATF2	C2CD3
ATF2	C4orf29
ATF2	C5orf24
ATF2	C5orf42
ATF2	C5orf51
ATF2	C8orf37
ATF2	C8orf59
ATF2	C9orf16
ATF2	C9orf41
ATF2	CAB39
ATF2	CAND1
ATF2	CAPN7
ATF2	CAPNS1
ATF2	CARF
ATF2	CASC5
ATF2	CASD1
ATF2	CASP8AP2
ATF2	CCDC101
ATF2	CCDC107
ATF2	CCDC12
ATF2	CCDC121
ATF2	CCDC124
ATF2	CCDC132
ATF2	CCDC159
ATF2	CCDC167
ATF2	CCDC186
ATF2	CCDC39
ATF2	CCDC61
ATF2	CCDC82
ATF2	CCDC85B
ATF2	CCDC88A
ATF2	CCDC94
ATF2	CCM2
ATF2	CCNI
ATF2	CCNT1
ATF2	CCNT2
ATF2	CCS
ATF2	CD320
ATF2	CDC37
ATF2	CDC73
ATF2	CDK12
ATF2	CDK13
ATF2	CDKL5
ATF2	CDKN2AIP
ATF2	CENPC
ATF2	CEP170
ATF2	CEP192
ATF2	CEP290
ATF2	CEP350
ATF2	CEP85L
ATF2	CEP97
ATF2	CERS6
ATF2	CFAP97
ATF2	CHAMP1
ATF2	CHCHD2
ATF2	CHCHD5
ATF2	CHD1
ATF2	CHD8
ATF2	CHD9
ATF2	CHM
ATF2	CHMP2A
ATF2	CIB1
ATF2	CINP
ATF2	CISD3
ATF2	CLASP1
ATF2	CLASP2
ATF2	CLCN3
ATF2	CLIP1
ATF2	CLOCK
ATF2	CLPP
ATF2	CLTA
ATF2	CLTB
ATF2	CLTC
ATF2	CLVS1
ATF2	CMTM1
ATF2	CNNM4
ATF2	CNPY2
ATF2	COA3
ATF2	COA4
ATF2	COG5
ATF2	COL4A3BP
ATF2	COMMD1
ATF2	COMMD4
ATF2	COMMD5
ATF2	COMTD1
ATF2	COPB1
ATF2	COPB2
ATF2	COPE
ATF2	COQ4
ATF2	COX14
ATF2	COX16
ATF2	COX17
ATF2	COX4I1
ATF2	COX5A
ATF2	COX5B
ATF2	COX6A1
ATF2	COX6C
ATF2	COX7C
ATF2	COX8A
ATF2	CPEB2
ATF2	CPEB4
ATF2	CREB1
ATF2	CREBRF
ATF2	CREBZF
ATF2	CRLF3
ATF2	CSNK1G3
ATF2	CTCF
ATF2	CTDSPL2
ATF2	CTNNB1
ATF2	CTNND1
ATF2	CUEDC2
ATF2	CUL5
ATF2	CUTA
ATF2	CWC15
ATF2	CWC22
ATF2	CXADR
ATF2	CXorf56
ATF2	DAAM1
ATF2	DAD1
ATF2	DAPK3
ATF2	DCAF12
ATF2	DCAF17
ATF2	DCAF7
ATF2	DCK
ATF2	DCLRE1A
ATF2	DDHD2
ATF2	DDR2
ATF2	DDRGK1
ATF2	DDX18
ATF2	DDX21
ATF2	DDX3X
ATF2	DDX6
ATF2	DENND1B
ATF2	DENND4A
ATF2	DENND4C
ATF2	DENND5A
ATF2	DENND5B
ATF2	DGCR6L
ATF2	DGUOK
ATF2	DHX15
ATF2	DHX33
ATF2	DHX36
ATF2	DHX9
ATF2	DIABLO
ATF2	DICER1
ATF2	DIDO1
ATF2	DIP2B
ATF2	DMAP1
ATF2	DMTF1
ATF2	DMXL1
ATF2	DMXL2
ATF2	DNAJB14
ATF2	DNAJC14
ATF2	DNAJC17
ATF2	DNLZ
ATF2	DNPH1
ATF2	DOCK4
ATF2	DOCK5
ATF2	DOCK7
ATF2	DOHH
ATF2	DPM2
ATF2	DPM3
ATF2	DPP8
ATF2	DPY19L3
ATF2	DRAP1
ATF2	DYNC1I2
ATF2	DYNLL1
ATF2	DYNLL2
ATF2	DYNLRB1
ATF2	EAF1
ATF2	EDF1
ATF2	EDIL3
ATF2	EEA1
ATF2	EEF1D
ATF2	EFCAB14
ATF2	EIF2AK3
ATF2	EIF3A
ATF2	EIF3G
ATF2	EIF3K
ATF2	EIF4G2
ATF2	EIF4G3
ATF2	EIF4H
ATF2	EIF5A
ATF2	EIF6
ATF2	ELF1
ATF2	ELF2
ATF2	ELK3
ATF2	ELMSAN1
ATF2	ELOF1
ATF2	EMC6
ATF2	EMC9
ATF2	EMG1
ATF2	ENDOG
ATF2	ENTPD4
ATF2	EP300
ATF2	EPB41
ATF2	EPB41L5
ATF2	EPC1
ATF2	EPG5
ATF2	EPS15
ATF2	ERBB2IP
ATF2	ERC1
ATF2	ERCC1
ATF2	ERCC4
ATF2	ERCC6L2
ATF2	ERN1
ATF2	ESF1
ATF2	ETFB
ATF2	ETV2
ATF2	ETV3
ATF2	EXOC5
ATF2	EXOC6B
ATF2	EXOSC1
ATF2	EXOSC4
ATF2	EXOSC7
ATF2	EYA3
ATF2	FAM126B
ATF2	FAM135A
ATF2	FAM13B
ATF2	FAM161A
ATF2	FAM161B
ATF2	FAM168A
ATF2	FAM173A
ATF2	FAM179B
ATF2	FAM195B
ATF2	FAM207A
ATF2	FAM208A
ATF2	FAM208B
ATF2	FAM212A
ATF2	FAM50A
ATF2	FAM63B
ATF2	FAM73A
ATF2	FAM96B
ATF2	FAM98B
ATF2	FASTK
ATF2	FAU
ATF2	FBXL15
ATF2	FBXL6
ATF2	FBXO11
ATF2	FBXO34
ATF2	FBXO38
ATF2	FBXW11
ATF2	FDX1L
ATF2	FEM1B
ATF2	FIBP
ATF2	FIS1
ATF2	FKBP14
ATF2	FKBP2
ATF2	FKBP8
ATF2	FNBP1L
ATF2	FNDC3A
ATF2	FOXJ3
ATF2	FPGT
ATF2	FRG1
ATF2	FRRS1
ATF2	FRS2
ATF2	FRYL
ATF2	FUBP1
ATF2	FUBP3
ATF2	FUT11
ATF2	FYCO1
ATF2	G3BP2
ATF2	GABARAP
ATF2	GABPA
ATF2	GADD45GIP1
ATF2	GAN
ATF2	GCC2
ATF2	GEMIN5
ATF2	GEMIN7
ATF2	GFER
ATF2	GFM1
ATF2	GLYR1
ATF2	GMCL1
ATF2	GNA13
ATF2	GOLGA4
ATF2	GOLGB1
ATF2	GOLIM4
ATF2	GON4L
ATF2	GOSR1
ATF2	GPATCH11
ATF2	GPATCH2L
ATF2	GPATCH8
ATF2	GPR176
ATF2	GPS2
ATF2	GPX4
ATF2	GSK3B
ATF2	GSTCD
ATF2	GTF2A1
ATF2	GTF2H3
ATF2	GTF2I
ATF2	GTF3C3
ATF2	GTF3C4
ATF2	GUK1
ATF2	H2AFJ
ATF2	HACD2
ATF2	HDDC3
ATF2	HEATR5A
ATF2	HEATR5B
ATF2	HECTD1
ATF2	HECTD4
ATF2	HELB
ATF2	HERC1
ATF2	HERC3
ATF2	HIAT1
ATF2	HIGD2A
ATF2	HIP1
ATF2	HIPK1
ATF2	HIPK3
ATF2	HIST2H2AC
ATF2	HIVEP1
ATF2	HIVEP2
ATF2	HLTF
ATF2	HMBOX1
ATF2	HMG20A
ATF2	HMGXB4
ATF2	HP1BP3
ATF2	HRAS
ATF2	HSCB
ATF2	HSPA13
ATF2	HSPB1
ATF2	HSPBP1
ATF2	HUWE1
ATF2	HYPK
ATF2	ICE1
ATF2	IDE
ATF2	IDH3G
ATF2	IFT43
ATF2	IGF2R
ATF2	IKZF3
ATF2	IL6R
ATF2	IL6ST
ATF2	IMP3
ATF2	INAFM1
ATF2	ING3
ATF2	INIP
ATF2	INO80
ATF2	INO80D
ATF2	INTS2
ATF2	IPMK
ATF2	IPO7
ATF2	IPO8
ATF2	IPP
ATF2	IREB2
ATF2	IRF3
ATF2	ISOC2
ATF2	ITCH
ATF2	ITGA6
ATF2	ITGB3
ATF2	ITPA
ATF2	ITSN2
ATF2	JMJD1C
ATF2	JMJD4
ATF2	JOSD2
ATF2	JRKL
ATF2	KANSL1
ATF2	KAT6A
ATF2	KAT6B
ATF2	KBTBD4
ATF2	KBTBD7
ATF2	KCTD18
ATF2	KCTD20
ATF2	KDM1B
ATF2	KDM3B
ATF2	KDM6A
ATF2	KIAA0232
ATF2	KIAA0355
ATF2	KIAA0586
ATF2	KIAA1033
ATF2	KIAA1468
ATF2	KIAA1958
ATF2	KIAA2018
ATF2	KIAA2026
ATF2	KIF13A
ATF2	KIF1B
ATF2	KIF21A
ATF2	KIF27
ATF2	KIF2A
ATF2	KIF5B
