TransFactor	Target
AR	COPZ1
AR	COX15
AR	COX5B
AR	COX7B
AR	CPA3
AR	CPE
AR	CPED1
AR	CREB3L4
AR	CREBRF
AR	CRTAP
AR	CRTC2
AR	CSAD
AR	CSNK2B
AR	CTCFL
AR	CTSO
AR	CYC1
AR	CYP4A11
AR	DCHS2
AR	DDX56
AR	DEPDC1B
AR	DHX38
AR	DKK2
AR	DLGAP4
AR	DLX5
AR	DMD
AR	DNAH9
AR	DNMT3A
AR	DPY19L3
AR	DTNB
AR	ECE1
AR	EDAR
AR	EEF2K
AR	EIF2AK3
AR	EIF3B
AR	EIF4E3
AR	EIF4G3
AR	EPHA3
AR	ERC1
AR	ERI2
AR	F13A1
AR	F2R
AR	FADS6
AR	FAM101A
AR	FAM160B1
AR	FAM178A
AR	FAM179A
AR	FAM195B
AR	FAM198B
AR	FAM81B
AR	FAM83D
AR	FANCM
AR	FBXO21
AR	FBXO8
AR	FDX1
AR	FHL5
AR	FKTN
AR	FMNL2
AR	FNTB
AR	FOXC1
AR	FOXP1
AR	FSD1
AR	FUT4
AR	GALK1
AR	GBF1
AR	GDF5
AR	GGH
AR	GINS1
AR	GINS4
AR	GJB3
AR	GNRH1
AR	GOLGB1
AR	GPN1
AR	GPRASP2
AR	GREB1
AR	GREM2
AR	GRP
AR	GSKIP
AR	GSR
AR	GTDC1
AR	GTF3C6
AR	GTPBP2
AR	HCAR1
AR	HGD
AR	HMGN3
AR	HPN
AR	HSPA4
AR	IFITM2
AR	IFT43
AR	IGBP1
AR	IGF1
AR	IGSF22
AR	IKBKB
AR	IKZF5
AR	ILF3
AR	IPO11
AR	IRAK4
AR	ITGA11
AR	ITGB8
AR	JMJD4
AR	KBTBD12
AR	KCNK6
AR	KCNK7
AR	KCNQ4
AR	KIAA0319L
AR	KIAA1522
AR	KIAA1598
AR	KIF20A
AR	KIF23
AR	KIRREL3
AR	KLHL9
AR	KLK4
AR	KLK6
AR	KRT16
AR	KRT37
AR	KRT8
AR	LAMA2
AR	LARGE
AR	LASP1
AR	LBHD1
AR	LDLRAD4
AR	LEMD2
AR	LEPROT
AR	LFNG
AR	LIMA1
AR	LPAR1
AR	LPP
AR	LRFN2
AR	LRRC27
AR	LRRC48
AR	LTBP2
AR	LTBR
AR	LY6G5B
AR	MAD1L1
AR	MAD2L2
AR	MAK
AR	MATN3
AR	MATR3
AR	MCF2L
AR	MCM10
AR	MED13
AR	MED30
AR	MEF2D
AR	MGAT5
AR	MICAL2
AR	MICALL1
AR	MIS18A
AR	MITF
AR	MLF1
AR	MLF2
AR	MLPH
AR	MN1
AR	MR1
AR	MRPL9
AR	MRPS18A
AR	MRPS25
AR	MRPS27
AR	MSANTD3
AR	MT1X
AR	MTCH1
AR	MUL1
AR	MYRIP
AR	NBEA
AR	NBR1
AR	NCAPH
AR	NCEH1
AR	NDRG2
AR	NDUFB9
AR	NEBL
AR	NEDD4L
AR	NFIB
AR	NKX3-1
AR	NOS1AP
AR	NPHP1
AR	NPY4R
AR	NRXN3
AR	NSMCE1
AR	NSUN2
AR	NUBPL
AR	NXN
AR	OCA2
AR	ODAM
AR	OGDHL
AR	P2RY4
AR	PABPC4
AR	PABPC4L
AR	PALLD
AR	PARP11
AR	PARVB
AR	PCCA
AR	PDCD5
AR	PDE1A
AR	PDE4A
AR	PDE9A
AR	PDGFD
AR	PDK4
AR	PDSS1
AR	PDZRN4
AR	PFDN4
AR	PFN2
AR	PHAX
AR	PHC2
AR	PHF19
AR	PHF20
AR	PHF5A
AR	PIK3R1
AR	PITRM1
AR	PLIN2
AR	PLOD3
AR	PLP2
AR	PLSCR2
AR	PNO1
AR	POLD1
AR	POLR2C
AR	POLR2I
AR	POLR2J
AR	POLR2J3
AR	POSTN
AR	PPIA
AR	PPP3CB
AR	PPTC7
AR	PRAME
AR	PRC1
AR	PRKCD
AR	PRKD3
AR	PRNP
AR	PRR15
AR	PRSS53
AR	PSMB4
AR	PSMB9
AR	PSMD13
AR	PSMG4
AR	PTCD2
AR	PTP4A3
AR	PTPRA
AR	PTS
AR	PUS7L
AR	PWP2
AR	RAB12
AR	RAB19
AR	RABL3
AR	RALGAPA1
AR	RALGPS2
AR	RARA
AR	RASGRF2
AR	RB1
AR	RBMX2
AR	RCBTB1
AR	RGS19
AR	RHOBTB2
AR	RNASEH1
AR	RNF122
AR	RNF182
AR	RNF41
AR	RNF5
