sample	StromalScore	ImmuneScore	ESTIMATEScore
TCGA-EJ-7331-01	-405.4439947	-951.8800111	-1357.324006
TCGA-EJ-7781-01	-905.3259537	-1028.888852	-1934.214806
TCGA-EJ-7782-01	-910.6871163	-1274.370237	-2185.057353
TCGA-EJ-7783-01	-913.2622197	-1201.91368	-2115.1759
TCGA-EJ-7784-01	-1350.582833	-1438.548791	-2789.131624
TCGA-EJ-7785-01	-439.5236727	-765.8172159	-1205.340889
TCGA-EJ-7786-01	-858.8286202	-1478.176413	-2337.005034
TCGA-EJ-7788-01	-595.1219817	-1216.589188	-1811.711169
TCGA-EJ-7789-01	-1188.8454	-1597.154987	-2786.000387
TCGA-EJ-7791-01	-200.1487295	-1043.452187	-1243.600917
TCGA-EJ-7792-01	-61.52299846	-492.4002673	-553.9232658
TCGA-EJ-7793-01	-1347.354863	-1613.763929	-2961.118793
TCGA-EJ-7794-01	-603.1031203	-858.145687	-1461.248807
TCGA-EJ-7797-01	-1290.754848	-1256.63559	-2547.390438
TCGA-EJ-8468-01	-317.0082894	-728.2328101	-1045.2411
TCGA-EJ-8469-01	-1184.939953	-1476.575231	-2661.515184
TCGA-EJ-8470-01	-1080.103443	190.8786114	-889.2248317
TCGA-EJ-8472-01	-1183.740655	-1608.494421	-2792.235076
TCGA-EJ-8474-01	-681.8400864	-1398.311598	-2080.151685
TCGA-EJ-A46B-01	-1310.199028	-1630.350923	-2940.549951
TCGA-EJ-A46D-01	-1284.514874	-1395.046261	-2679.561135
TCGA-EJ-A46E-01	-1206.991558	-1128.004126	-2334.995685
TCGA-EJ-A46F-01	-1888.842376	-1755.241072	-3644.083449
TCGA-EJ-A46G-01	-674.7595146	-1150.230693	-1824.990208
TCGA-EJ-A46H-01	-309.4792352	-612.7787802	-922.2580153
TCGA-EJ-A46I-01	-1223.952204	-1459.688006	-2683.64021
TCGA-EJ-A65E-01	-1636.555115	-1597.848476	-3234.403591
TCGA-EJ-A65F-01	-720.7912459	-1132.434816	-1853.226061
TCGA-EJ-A65G-01	-1505.420438	-1736.205801	-3241.626239
TCGA-EJ-A65J-01	-1033.426958	-1292.628895	-2326.055853
TCGA-EJ-A65M-01	-1078.142749	-997.048061	-2075.19081
TCGA-EJ-A6RA-01	-1300.407209	-1275.415715	-2575.822923
TCGA-EJ-A6RC-01	-442.313216	-458.074871	-900.388087
TCGA-EJ-A7NF-01	-1887.205238	-1571.619433	-3458.82467
TCGA-EJ-A7NG-01	-860.7721775	-1285.960051	-2146.732228
TCGA-EJ-A7NH-01	-1037.669044	-1435.942216	-2473.61126
TCGA-EJ-A7NJ-01	-1466.136374	-1089.569686	-2555.70606
TCGA-EJ-A7NK-01	-1211.97568	-1422.043548	-2634.019228
TCGA-EJ-A7NM-01	-896.4054375	-423.4908565	-1319.896294
TCGA-EJ-A7NN-01	-894.4132263	-879.6385696	-1774.051796
TCGA-EJ-A8FN-01	-859.3633077	-908.33711	-1767.700418
TCGA-EJ-A8FO-01	-1225.891981	-1566.515198	-2792.407179
TCGA-EJ-A8FP-01	-761.4914165	-974.886012	-1736.377429
TCGA-EJ-A8FS-01	-1919.984974	-1669.799318	-3589.784292
TCGA-EJ-A8FU-01	-534.4982533	-1029.714181	-1564.212434
TCGA-EJ-AB20-01	-65.00514877	-563.7221234	-628.7272722
TCGA-EJ-AB27-01	-1395.853115	-811.9379157	-2207.791031
TCGA-FC-7708-01	-341.3779894	-931.8841105	-1273.2621
TCGA-FC-7961-01	-281.9594307	-1137.422973	-1419.382404
TCGA-FC-A4JI-01	-2034.976784	-1431.543788	-3466.520572
TCGA-FC-A5OB-01	-1669.410713	-1845.251337	-3514.66205
TCGA-FC-A8O0-01	-1379.411871	-1686.014202	-3065.426073
TCGA-G9-6329-01	-802.5622137	-990.8734509	-1793.435665
TCGA-G9-6332-01	-1782.382015	-1744.801472	-3527.183487
TCGA-G9-6333-01	-904.0560008	-1083.872551	-1987.928552
TCGA-G9-6336-01	-1288.689425	-1375.689429	-2664.378853
TCGA-G9-6338-01	-558.6408687	-1285.708656	-1844.349525
TCGA-G9-6339-01	-1489.848147	-1354.510796	-2844.358944
TCGA-G9-6342-01	-1313.388287	-1494.397009	-2807.785296
TCGA-G9-6343-01	-1220.400032	-1433.445676	-2653.845708
TCGA-G9-6348-01	-583.6191861	-947.2717753	-1530.890961
TCGA-G9-6351-01	-1331.210911	-1579.39576	-2910.606671
TCGA-G9-6353-01	-995.0412331	-1549.365115	-2544.406348
TCGA-G9-6354-01	-1732.923463	-1444.856751	-3177.780213
TCGA-G9-6356-01	-644.5342143	-748.6575565	-1393.191771
TCGA-G9-6361-01	-552.2423872	-1458.745455	-2010.987842
TCGA-G9-6362-01	-1081.628782	-1235.724972	-2317.353754
TCGA-G9-6363-01	-999.1721841	-1201.643171	-2200.815355
TCGA-G9-6364-01	-523.6871678	-1416.493145	-1940.180313
TCGA-G9-6365-01	-461.2092182	-1211.396856	-1672.606075
TCGA-G9-6366-01	-1452.976999	-1589.086554	-3042.063553
TCGA-G9-6367-01	-1002.805013	-1308.147202	-2310.952215
TCGA-G9-6369-01	-1207.750409	-1596.460417	-2804.210827
TCGA-G9-6370-01	-804.9380728	-1109.377844	-1914.315917
TCGA-G9-6371-01	-1520.188193	-1597.28789	-3117.476083
TCGA-G9-6373-01	-670.1341207	-972.0337914	-1642.167912
TCGA-G9-6377-01	-1100.559039	-1088.2839	-2188.842939
TCGA-G9-6378-01	-567.9345543	-1344.034374	-1911.968929
TCGA-G9-6384-01	-716.4972151	-1160.294766	-1876.791981
TCGA-G9-6385-01	-919.8251546	-1384.677934	-2304.503089
TCGA-G9-6494-01	-972.8958373	-1527.430728	-2500.326565
TCGA-G9-6496-01	-808.5794824	-1398.743883	-2207.323365
TCGA-G9-6498-01	-660.6880347	-295.0701079	-955.7581426
TCGA-G9-6499-01	-1568.865706	-1224.03865	-2792.904357
TCGA-G9-7509-01	-1134.28052	-1686.882668	-2821.163188
TCGA-G9-7510-01	-548.1842284	-1048.633953	-1596.818182
TCGA-G9-7519-01	-964.7028145	-1462.040984	-2426.743798
TCGA-G9-7521-01	-493.348084	-310.0351629	-803.3832469
TCGA-G9-7522-01	-835.23632	-1239.045965	-2074.282285
TCGA-G9-7523-01	593.4879621	-237.1638846	356.3240775
TCGA-G9-7525-01	-724.664005	-1323.052931	-2047.716936
TCGA-G9-A9S0-01	-1365.09924	-1014.699813	-2379.799053
TCGA-G9-A9S4-01	-1849.003086	-1749.720502	-3598.723588
TCGA-G9-A9S7-01	-1851.114696	-1410.597285	-3261.711981
TCGA-H9-7775-01	-893.3515744	-1445.035196	-2338.38677
TCGA-H9-A6BX-01	-305.4003831	-670.2256768	-975.6260599
TCGA-HC-7075-01	-1543.789617	-1206.296791	-2750.086407
TCGA-HC-7077-01	-1802.603183	-1822.575812	-3625.178996
TCGA-HC-7078-01	-925.1776502	-1014.064524	-1939.242175
TCGA-HC-7079-01	145.4096802	1982.781183	2128.190863
TCGA-HC-7080-01	-1634.542859	-1596.47757	-3231.02043
TCGA-HC-7081-01	421.9416783	-531.1890028	-109.2473245
TCGA-HC-7209-01	-1218.390782	-1244.351767	-2462.742549
TCGA-HC-7210-01	-291.3150464	-719.1233438	-1010.43839
TCGA-HC-7211-01	-1295.443073	-1001.428114	-2296.871187
TCGA-HC-7212-01	-977.9926153	-1500.644626	-2478.637242
TCGA-HC-7213-01	-831.3470322	-993.2084742	-1824.555506
TCGA-HC-7230-01	-1668.643274	-1733.060816	-3401.70409
TCGA-HC-7231-01	-1214.043878	-899.5682423	-2113.61212
TCGA-HC-7232-01	-890.5259261	-1498.788436	-2389.314362
TCGA-HC-7233-01	-389.1728799	-359.9352044	-749.1080843
TCGA-HC-7736-01	-763.0454113	-1037.20293	-1800.248341
TCGA-HC-7737-01	-464.0193053	-503.5233141	-967.5426195
TCGA-HC-7738-01	-1527.217306	-1426.576093	-2953.793399
TCGA-HC-7740-01	-577.1115023	-1004.288923	-1581.400426
TCGA-HC-7742-01	-860.4832905	-1544.770044	-2405.253334
TCGA-HC-7744-01	-1562.033775	-1616.614146	-3178.647921
TCGA-HC-7745-01	-319.3266022	-567.9175788	-887.2441809
TCGA-HC-7747-01	-991.3921209	-679.9535575	-1671.345678
TCGA-HC-7748-01	-358.5452651	-915.0376201	-1273.582885
TCGA-HC-7749-01	-772.0049734	-1169.255197	-1941.260171
TCGA-HC-7750-01	-777.0467269	-1342.711654	-2119.758381
TCGA-HC-7752-01	-1153.25472	-1270.721303	-2423.976023
TCGA-HC-7817-01	-278.7496772	-460.7234529	-739.4731301
TCGA-HC-7818-01	-1092.033803	-988.8368108	-2080.870614
TCGA-HC-7819-01	-1781.981074	-1743.806199	-3525.787273
TCGA-HC-7820-01	-1520.506482	-1527.454754	-3047.961237
TCGA-HC-7821-01	-139.6916221	-582.5181105	-722.2097326
TCGA-HC-8213-01	-1981.044743	-1783.168781	-3764.213524
TCGA-HC-8216-01	-944.0329814	-861.7077083	-1805.74069
TCGA-HC-8256-01	-1650.684802	-1539.139578	-3189.82438
TCGA-HC-8257-01	-1014.508653	-1309.968703	-2324.477356
TCGA-HC-8258-01	-1374.080613	-1178.104736	-2552.185349
TCGA-HC-8259-01	-1653.254844	-1749.938	-3403.192844
TCGA-HC-8260-01	-1015.049614	-1329.484906	-2344.53452
TCGA-HC-8261-01	-1124.401541	-1023.199177	-2147.600719
TCGA-HC-8262-01	-1503.67615	-1620.854203	-3124.530354
TCGA-HC-8264-01	-26.67393264	-1084.031408	-1110.705341
TCGA-HC-8265-01	-1164.049649	-1137.75577	-2301.805419
TCGA-HC-8266-01	-434.6005124	608.2823038	173.6817914
TCGA-HC-A48F-01	-1189.324269	-1870.385369	-3059.709638
TCGA-HC-A4ZV-01	-393.2812826	-534.895768	-928.1770506
TCGA-HC-A631-01	-1393.278112	-1686.715846	-3079.993957
TCGA-HC-A632-01	-337.1628757	-160.5046838	-497.6675595
TCGA-HC-A76W-01	-492.5015853	-1065.393893	-1557.895479
TCGA-HC-A76X-01	-1762.928046	-1931.944307	-3694.872353
TCGA-HC-A8CY-01	-1366.062444	-830.5497673	-2196.612211
TCGA-HC-A8D0-01	-709.6767309	-887.7379366	-1597.414667
TCGA-HC-A8D1-01	-685.6625533	-1059.133162	-1744.795715
TCGA-HC-A9TE-01	-312.2350899	-119.7435205	-431.9786104
TCGA-HC-A9TH-01	-562.1976913	-955.0403053	-1517.237997
TCGA-HI-7168-01	-303.2880845	-1527.840649	-1831.128733
TCGA-HI-7169-01	-578.0213335	-1289.800789	-1867.822122
TCGA-HI-7170-01	-200.1701213	-657.3573904	-857.5275117
TCGA-HI-7171-01	-1029.7883	-1336.454635	-2366.242935
TCGA-J4-8198-01	-801.9431417	-1577.358491	-2379.301633
TCGA-J4-8200-01	-802.4215922	-1304.380561	-2106.802153
TCGA-J4-A67T-01	-1326.114229	-1179.890099	-2506.004328
TCGA-J4-A6G1-01	-374.7785403	899.27491	524.4963697
TCGA-J4-A6G3-01	-857.5746982	-400.2819364	-1257.856635
TCGA-J4-A83I-01	-940.6205631	-1130.722788	-2071.343352
TCGA-J4-A83J-01	-1348.512684	-870.4698466	-2218.982531
TCGA-J4-A83K-01	-1118.50494	-1548.537154	-2667.042094
TCGA-J4-A83L-01	-925.3384976	-1460.434868	-2385.773365
TCGA-J4-A83M-01	-1285.616381	-1232.56655	-2518.182931
TCGA-J4-A83N-01	-1677.068822	-1456.032635	-3133.101457
TCGA-J4-AATV-01	-834.7541139	-760.6591133	-1595.413227
TCGA-J4-AATZ-01	-1595.647865	-1591.34533	-3186.993194
TCGA-J4-AAU2-01	-1222.102068	-1376.283981	-2598.386049
TCGA-J9-A52B-01	-818.9142508	-1032.862368	-1851.776619
TCGA-J9-A52C-01	-56.86841452	-397.2025744	-454.0709889
TCGA-J9-A52D-01	-2034.447175	-1912.233213	-3946.680388
TCGA-J9-A52E-01	-118.4491417	-748.3122938	-866.7614354
TCGA-J9-A8CK-01	-225.1455191	-1138.868171	-1364.01369
TCGA-J9-A8CL-01	-74.72321105	-728.8135204	-803.5367315
TCGA-J9-A8CM-01	-268.7471675	-1047.322555	-1316.069723
TCGA-J9-A8CN-01	-1153.2795	-1403.941563	-2557.221063
TCGA-J9-A8CP-01	-645.0869316	-1226.139877	-1871.226809
TCGA-KC-A4BL-01	-849.7638621	-973.5564573	-1823.320319
TCGA-KC-A4BN-01	-1832.090955	-1571.323217	-3403.414172
TCGA-KC-A4BR-01	-462.1502378	-1200.138819	-1662.289056
TCGA-KC-A4BV-01	-465.4012732	-895.2628256	-1360.664099
TCGA-KC-A7F3-01	-1386.109001	-1360.242712	-2746.351712
TCGA-KC-A7F5-01	-1829.822142	-2097.102523	-3926.924665
TCGA-KC-A7F6-01	-1287.39734	-1302.900807	-2590.298147
TCGA-KC-A7FA-01	-1163.11849	-1179.310018	-2342.428509
TCGA-KC-A7FD-01	-2061.180099	-1605.564286	-3666.744385
TCGA-KC-A7FE-01	-404.2745086	-1177.273642	-1581.548151
TCGA-KK-A59V-01	-788.197058	1175.972976	387.7759178
TCGA-KK-A59X-01	-888.303617	-1333.030411	-2221.334028
TCGA-KK-A59Y-01	-1640.672386	-1584.064819	-3224.737206
TCGA-KK-A59Z-01	-256.2740863	-930.0065143	-1186.280601
TCGA-KK-A5A1-01	-684.8617908	-987.1890669	-1672.050858
TCGA-KK-A6DY-01	-1292.623212	-988.7860098	-2281.409222
TCGA-KK-A6E0-01	-1560.829667	-1517.45628	-3078.285948
TCGA-KK-A6E1-01	-1584.405447	-1483.422746	-3067.828193
TCGA-KK-A6E2-01	-1648.471263	-1428.546385	-3077.017648
TCGA-KK-A6E5-01	-1031.998855	-1256.838126	-2288.836982
TCGA-KK-A6E6-01	-705.1060627	-1119.080763	-1824.186826
TCGA-KK-A7AP-01	-1607.436059	-1885.926535	-3493.362595
TCGA-KK-A7AQ-01	-873.9344392	-1267.301205	-2141.235644
TCGA-KK-A7AU-01	-2299.689239	-1866.693974	-4166.383213
TCGA-KK-A7AV-01	-721.8825362	-92.79010591	-814.6726421
TCGA-KK-A7AW-01	-1286.052558	-321.3394708	-1607.392029
TCGA-KK-A7AY-01	-1392.000254	-1380.834456	-2772.83471
TCGA-KK-A7AZ-01	-1315.248661	-1546.227483	-2861.476144
TCGA-KK-A7B0-01	-650.4595112	-61.05127764	-711.5107888
TCGA-KK-A7B1-01	-500.6384134	-1287.849367	-1788.48778
TCGA-KK-A7B2-01	-512.1764509	-111.6805253	-623.8569762
TCGA-KK-A7B3-01	-493.879234	-639.8760522	-1133.755286
TCGA-KK-A7B4-01	-947.3584584	-999.2999315	-1946.65839
TCGA-KK-A8I4-01	0.559631969	27.72746256	28.28709453
TCGA-KK-A8I5-01	-909.4884016	-1398.070814	-2307.559215
TCGA-KK-A8I6-01	-1420.360767	-1346.417096	-2766.777863
TCGA-KK-A8I7-01	-533.6733492	-739.2217818	-1272.895131
TCGA-KK-A8I8-01	-1239.876006	-1425.441882	-2665.317888
TCGA-KK-A8I9-01	-543.3187073	-676.9305806	-1220.249288
TCGA-KK-A8IA-01	-1372.672711	-1644.264334	-3016.937045
TCGA-KK-A8IB-01	-853.7050061	-615.6783088	-1469.383315
TCGA-KK-A8IC-01	-504.09876	-904.6002768	-1408.699037
TCGA-KK-A8ID-01	-1729.60681	-1549.835819	-3279.442629
TCGA-KK-A8IF-01	-1354.11459	-1650.253705	-3004.368295
TCGA-KK-A8IG-01	-272.420517	-1038.287908	-1310.708425
TCGA-KK-A8IH-01	-1327.428923	-1003.489899	-2330.918821
TCGA-KK-A8II-01	-2092.949363	-1757.152224	-3850.101587
TCGA-KK-A8IJ-01	-1349.815112	-1583.070505	-2932.885616
TCGA-KK-A8IK-01	-1870.250452	-1649.532594	-3519.783046
TCGA-KK-A8IL-01	-876.7154622	-332.5992915	-1209.314754
TCGA-KK-A8IM-01	-829.3670799	-1096.66818	-1926.03526
TCGA-M7-A71Y-01	-1100.910653	-1317.01265	-2417.923303
TCGA-M7-A71Z-01	-2055.564735	-1898.046024	-3953.610758
TCGA-M7-A720-01	-1349.855604	-1313.043263	-2662.898867
TCGA-M7-A721-01	-1043.306213	-1231.713394	-2275.019608
TCGA-M7-A722-01	-1591.751598	-1356.666323	-2948.417921
TCGA-M7-A723-01	-437.9149107	-319.0040576	-756.9189683
TCGA-M7-A724-01	-2183.98291	-1919.05943	-4103.04234
TCGA-M7-A725-01	-1452.737333	-1606.072244	-3058.809576
TCGA-MG-AAMC-01	-1754.022065	-1576.990234	-3331.0123
TCGA-SU-A7E7-01	-1058.36798	-930.8369309	-1989.204911
TCGA-TK-A8OK-01	461.2259553	-924.9661819	-463.7402266
TCGA-TP-A8TT-01	-561.9203967	-242.9523315	-804.8727282
TCGA-TP-A8TV-01	-1605.360398	-1771.234627	-3376.595025
TCGA-V1-A8MF-01	-749.9522325	-556.1386222	-1306.090855
TCGA-V1-A8MG-01	-737.4071149	-1163.06173	-1900.468845
TCGA-V1-A8MJ-01	-1017.606848	-436.2190561	-1453.825904
TCGA-V1-A8MK-01	-1047.104851	-1344.450963	-2391.555815
TCGA-V1-A8ML-01	-852.1081621	-1539.8793	-2391.987462
TCGA-V1-A8MM-01	-504.7933135	-685.1955581	-1189.988872
TCGA-V1-A8MU-01	-410.1419591	-676.8651811	-1087.00714
TCGA-V1-A8WL-01	-906.1727919	-802.4221975	-1708.594989
TCGA-V1-A8WN-01	-1114.240116	-1274.056029	-2388.296145
TCGA-V1-A8WS-01	-1488.921987	-1813.451584	-3302.373572
TCGA-V1-A8WV-01	-862.034603	-713.1127045	-1575.147307
TCGA-V1-A8WW-01	-932.4484441	-1240.088199	-2172.536643
TCGA-V1-A8X3-01	-976.5329401	-1383.060878	-2359.593818
TCGA-V1-A9O5-01	-929.8343205	-417.4684225	-1347.302743
TCGA-V1-A9O5-06	-1269.19727	-954.2222177	-2223.419487
TCGA-V1-A9O7-01	-251.0352924	-896.2472156	-1147.282508
TCGA-V1-A9O9-01	-660.5834129	108.0486283	-552.5347846
TCGA-V1-A9OA-01	-448.472729	-1108.024298	-1556.497027
TCGA-V1-A9OF-01	-1672.712693	-1464.281428	-3136.994121
TCGA-V1-A9OH-01	-938.2854854	-1269.496383	-2207.781869
TCGA-V1-A9OL-01	-961.8968924	-997.511439	-1959.408331
TCGA-V1-A9OQ-01	-1055.935916	-1165.94805	-2221.883966
TCGA-V1-A9OT-01	-1118.377984	-1185.471469	-2303.849454
TCGA-V1-A9OX-01	-1114.158194	-1007.326582	-2121.484776
TCGA-V1-A9OY-01	-885.3155201	-1049.822279	-1935.137799
TCGA-V1-A9Z7-01	-42.27301619	-912.9373298	-955.210346
TCGA-V1-A9Z8-01	-344.306454	-962.9217917	-1307.228246
TCGA-V1-A9Z9-01	-689.1372869	-1299.630311	-1988.767598
TCGA-V1-A9ZG-01	-595.4111005	-1206.231753	-1801.642854
TCGA-V1-A9ZI-01	-398.990516	-771.580947	-1170.571463
TCGA-V1-A9ZK-01	-961.6524877	-1375.194448	-2336.846935
TCGA-V1-A9ZR-01	-168.9613043	-417.088171	-586.0494753
TCGA-VN-A88I-01	218.9255354	-748.0258182	-529.1002829
TCGA-VN-A88K-01	-703.9401992	-1335.033094	-2038.973293
TCGA-VN-A88L-01	-761.934008	-1479.252893	-2241.186901
TCGA-VN-A88M-01	-1668.897035	-1666.162364	-3335.059399
TCGA-VN-A88N-01	-1591.315853	-1617.060714	-3208.376567
TCGA-VN-A88O-01	-1358.018368	-1159.487246	-2517.505614
TCGA-VN-A88P-01	-731.840357	-1239.169362	-1971.009719
TCGA-VN-A88Q-01	-1655.93121	-1515.233739	-3171.164949
TCGA-VN-A88R-01	-812.2141771	-1208.54421	-2020.758388
TCGA-VN-A943-01	-2352.483883	-2048.898869	-4401.382752
TCGA-VP-A872-01	-584.1132818	-592.8837108	-1176.996993
TCGA-VP-A875-01	-1717.937698	-1918.673317	-3636.611015
TCGA-VP-A876-01	-1789.46447	-1778.210327	-3567.674797
TCGA-VP-A878-01	-571.1223925	-977.8637608	-1548.986153
TCGA-VP-A879-01	-984.7448476	-1658.116535	-2642.861383
TCGA-VP-A87B-01	-1069.511363	-1419.716877	-2489.22824
TCGA-VP-A87C-01	58.52898428	977.4569328	1035.985917
TCGA-VP-A87D-01	-1539.724492	-1810.36158	-3350.086073
TCGA-VP-A87E-01	-423.9086381	-278.884608	-702.7932461
TCGA-VP-A87H-01	-1174.231306	-1392.898404	-2567.12971
TCGA-VP-A87J-01	-1353.372924	-1552.283256	-2905.65618
TCGA-VP-A87K-01	-1716.728956	-1533.935253	-3250.66421
TCGA-VP-AA1N-01	-732.2840328	-830.9964875	-1563.28052
TCGA-WW-A8ZI-01	-1373.740986	-1289.020977	-2662.761963
TCGA-X4-A8KQ-01	-564.8441731	-948.20539	-1513.049563
TCGA-X4-A8KS-01	-1212.932029	-1025.557517	-2238.489545
TCGA-XA-A8JR-01	-1032.361142	-1300.649518	-2333.01066
TCGA-XJ-A83F-01	-1170.755878	-1580.528411	-2751.284289
TCGA-XJ-A83G-01	-1626.919712	-1555.433852	-3182.353564
TCGA-XJ-A83H-01	-1548.792136	-1359.480739	-2908.272875
TCGA-XJ-A9DI-01	-493.7638861	-243.6089937	-737.3728797
TCGA-XJ-A9DK-01	-1064.404058	-1201.869118	-2266.273176
TCGA-XJ-A9DQ-01	-1216.447426	-1500.683801	-2717.131226
TCGA-XJ-A9DX-01	-1204.009313	-1366.932285	-2570.941598
TCGA-XK-AAIR-01	-900.1292324	-1049.245594	-1949.374826
TCGA-XK-AAIV-01	-230.91546	381.3428405	150.4273805
TCGA-XK-AAIW-01	-1786.069433	-979.7641195	-2765.833552
TCGA-XK-AAJ3-01	-881.0429845	-1576.354764	-2457.397748
TCGA-XK-AAJA-01	-1560.42899	-1521.293938	-3081.722928
TCGA-XK-AAJP-01	-1205.478988	-1168.509824	-2373.988812
TCGA-XK-AAJR-01	-951.0018692	-1401.088722	-2352.090591
TCGA-XK-AAJT-01	-512.5664588	-949.87653	-1462.442989
TCGA-XK-AAJU-01	-1308.40902	-1156.757258	-2465.166278
TCGA-XK-AAK1-01	-1512.700224	-1354.290371	-2866.990595
TCGA-XQ-A8TA-01	-2235.688109	-2212.655446	-4448.343555
TCGA-XQ-A8TB-01	-499.4778764	-1363.751031	-1863.228907
TCGA-Y6-A8TL-01	-1074.306186	-1554.989213	-2629.295399
TCGA-Y6-A9XI-01	-1523.918701	-1608.604014	-3132.522716
TCGA-YJ-A8SW-01	-1300.309694	-1768.203812	-3068.513507
TCGA-YL-A8HJ-01	134.6409777	-533.3563278	-398.7153501
TCGA-YL-A8HK-01	-617.4344461	-1054.822269	-1672.256715
TCGA-YL-A8HL-01	-1483.849963	-1790.151241	-3274.001203
TCGA-YL-A8HM-01	-1015.217405	-662.4744851	-1677.69189
TCGA-YL-A8HO-01	19.0709713	-94.01338533	-74.94241403
TCGA-YL-A8S8-01	-670.2718267	-1441.423769	-2111.695596
TCGA-YL-A8S9-01	-1963.670417	-1994.831075	-3958.501492
TCGA-YL-A8SA-01	-1834.123681	-1613.605431	-3447.729113
TCGA-YL-A8SB-01	-449.4111307	-1157.89839	-1607.30952
TCGA-YL-A8SC-01	-831.2442073	-727.8514844	-1559.095692
TCGA-YL-A8SF-01	-260.0375033	-1249.028572	-1509.066076
TCGA-YL-A8SH-01	-1090.318998	-1411.983316	-2502.302315
TCGA-YL-A8SI-01	-617.4257785	-986.4286337	-1603.854412
TCGA-YL-A8SJ-01	-330.0384367	-1552.906601	-1882.945038
TCGA-YL-A8SK-01	-816.0606622	-1000.466642	-1816.527304
TCGA-YL-A8SL-01	-1738.853518	-1766.737095	-3505.590613
TCGA-YL-A8SO-01	-792.1566393	-1331.184948	-2123.341587
TCGA-YL-A8SP-01	-1128.273404	-1948.573452	-3076.846856
TCGA-YL-A8SQ-01	-885.1981027	-1190.046391	-2075.244494
TCGA-YL-A8SR-01	-932.560678	-1450.077233	-2382.637911
TCGA-YL-A9WH-01	-1233.264075	-1469.812975	-2703.07705
TCGA-YL-A9WI-01	-1189.860724	-1565.385882	-2755.246606
TCGA-YL-A9WJ-01	-701.3296125	-818.2495094	-1519.579122
TCGA-YL-A9WK-01	-338.8564706	-861.7149365	-1200.571407
TCGA-YL-A9WL-01	-1401.825923	-1792.198554	-3194.024477
TCGA-YL-A9WX-01	-865.0609032	-779.3613284	-1644.422232
TCGA-YL-A9WY-01	-99.91800032	12.38208706	-87.53591326
TCGA-ZG-A8QW-01	-649.2673516	-687.0800787	-1336.34743
TCGA-ZG-A8QX-01	-1285.311347	-1337.409678	-2622.721025
TCGA-ZG-A8QY-01	-770.0988073	-1566.126016	-2336.224824
TCGA-ZG-A8QZ-01	-463.9637135	-774.1663775	-1238.130091
TCGA-ZG-A9KY-01	-1178.01821	-392.178237	-1570.196447
TCGA-ZG-A9L0-01	-26.81543505	-356.0716944	-382.8871295
TCGA-ZG-A9L1-01	-797.2817781	-1855.712618	-2652.994396
TCGA-ZG-A9L2-01	96.61640322	-359.8855105	-263.2691072
TCGA-ZG-A9L4-01	-333.349306	-995.2524176	-1328.601724
TCGA-ZG-A9L5-01	-1277.725595	-1474.937303	-2752.662898
TCGA-ZG-A9L6-01	-222.2487617	-847.2649124	-1069.513674
TCGA-ZG-A9L9-01	-70.56243558	-488.469752	-559.0321875
TCGA-ZG-A9LB-01	-827.2538736	-705.2106015	-1532.464475
TCGA-ZG-A9LM-01	-471.4107306	-1039.28823	-1510.698961
TCGA-ZG-A9LN-01	-242.3407702	569.9557675	327.6149974
TCGA-ZG-A9LS-01	105.3307595	26.89951284	132.2302724
TCGA-ZG-A9LU-01	-1255.45664	-709.137952	-1964.594592
TCGA-ZG-A9LY-01	-746.6732025	-1011.392449	-1758.065652
TCGA-ZG-A9LZ-01	-976.9701679	-913.6069568	-1890.577125
TCGA-ZG-A9M4-01	-1120.472906	-270.0933238	-1390.56623
TCGA-ZG-A9MC-01	-142.911775	695.7406947	552.8289196
TCGA-ZG-A9N3-01	-1626.751766	-649.244544	-2275.99631
TCGA-ZG-A9ND-01	-1588.677178	-1539.7335	-3128.410678
TCGA-ZG-A9NI-01	-304.5576431	-1242.908966	-1547.466609
TCGA-2K-A9WE-01	-13.09776849	1549.644392	1536.546623
TCGA-2Z-A9J1-01	-1211.473414	-93.71521907	-1305.188633
TCGA-2Z-A9J2-01	-1265.539853	-217.4557797	-1482.995632
TCGA-2Z-A9J3-01	-2077.687445	-1514.26948	-3591.956925
TCGA-2Z-A9J5-01	-642.8368012	834.845252	192.0084508
TCGA-2Z-A9J6-01	-1364.01845	-435.1645432	-1799.182993
TCGA-2Z-A9J7-01	-1891.801403	-1594.904036	-3486.70544
TCGA-2Z-A9J8-01	-1365.114332	-651.0497304	-2016.164063
TCGA-2Z-A9J9-01	-664.7611678	-703.0519719	-1367.81314
TCGA-2Z-A9JD-01	-1559.89226	-1313.902915	-2873.795175
TCGA-2Z-A9JE-01	-1513.031512	-1204.491851	-2717.523363
TCGA-2Z-A9JG-01	-1390.284433	-690.1560561	-2080.440489
TCGA-2Z-A9JI-01	-853.3900205	514.4060035	-338.984017
TCGA-2Z-A9JJ-01	-620.3941685	-145.2190886	-765.6132571
TCGA-2Z-A9JK-01	400.8175274	273.5018028	674.3193302
TCGA-2Z-A9JL-01	-1153.302315	-179.5019233	-1332.804238
TCGA-2Z-A9JM-01	-645.9847565	357.7938756	-288.1908809
TCGA-2Z-A9JN-01	-1661.241946	-953.8614301	-2615.103376
TCGA-2Z-A9JO-01	-859.8743392	-773.6249456	-1633.499285
TCGA-2Z-A9JP-01	-967.1902152	-38.78268802	-1005.972903
TCGA-2Z-A9JQ-01	-1082.744352	-374.0458775	-1456.790229
