sample	StromalScore	ImmuneScore	ESTIMATEScore
TCGA-4Z-AA7Q-01	-1043.79819	815.2381224	-228.5600671
TCGA-4Z-AA7R-01	-1413.842451	-1375.691306	-2789.533756
TCGA-4Z-AA7S-01	-1855.211177	-1451.054917	-3306.266094
TCGA-4Z-AA7W-01	-641.5491424	1745.721066	1104.171924
TCGA-4Z-AA7Y-01	-2144.924812	-1253.36942	-3398.294232
TCGA-4Z-AA80-01	-2198.087861	-1349.301944	-3547.389805
TCGA-4Z-AA81-01	-1786.368014	-125.2127766	-1911.580791
TCGA-4Z-AA82-01	-713.4502481	-497.512158	-1210.962406
TCGA-4Z-AA83-01	-1317.396125	-356.843716	-1674.239841
TCGA-4Z-AA84-01	-1454.334659	-1229.182467	-2683.517127
TCGA-4Z-AA86-01	11.89944812	841.8284	853.7278481
TCGA-4Z-AA87-01	-1319.828036	-358.4128335	-1678.24087
TCGA-4Z-AA89-01	-2660.421034	-881.8550449	-3542.276079
TCGA-5N-A9KI-01	-539.8933021	-192.8516553	-732.7449575
TCGA-5N-A9KM-01	-688.9449175	-106.3960939	-795.3410115
TCGA-BL-A0C8-01	-1005.594804	-1089.652362	-2095.247166
TCGA-BL-A13I-01	465.7479387	1422.803972	1888.551911
TCGA-BL-A13J-01	-595.2714927	-901.0879925	-1496.359485
TCGA-BL-A3JM-01	-954.0425443	-1158.605829	-2112.648373
TCGA-BL-A5ZZ-01	418.4272167	208.8564973	627.283714
TCGA-BT-A0S7-01	-912.2826775	-975.1638284	-1887.446506
TCGA-BT-A0YX-01	-1109.053833	-11.13947419	-1120.193307
TCGA-BT-A20J-01	-747.9268131	825.7634183	77.83660526
TCGA-BT-A20N-01	-1564.429953	-1484.0013	-3048.431253
TCGA-BT-A20O-01	649.7108314	2268.950609	2918.66144
TCGA-BT-A20P-01	-1956.615526	-1185.075324	-3141.69085
TCGA-BT-A20Q-01	-181.7594332	26.51287352	-155.2465597
TCGA-BT-A20R-01	393.6679955	-397.6714265	-4.003430984
TCGA-BT-A20T-01	-588.3103724	-176.9626962	-765.2730686
TCGA-BT-A20U-01	-872.5257602	-650.2308634	-1522.756624
TCGA-BT-A20V-01	-2032.479608	-516.7157406	-2549.195349
TCGA-BT-A20W-01	-1097.197513	-493.5701706	-1590.767684
TCGA-BT-A20X-01	-764.5908017	-460.5177243	-1225.108526
TCGA-BT-A2LA-01	-1771.292603	-2123.189232	-3894.481835
TCGA-BT-A2LB-01	-374.6000216	1.29201396	-373.3080077
TCGA-BT-A2LD-01	-1115.559338	-693.0782099	-1808.637548
TCGA-BT-A3PH-01	-1525.751991	-1152.003677	-2677.755668
TCGA-BT-A3PJ-01	-1116.676341	132.7445841	-983.931757
TCGA-BT-A3PK-01	-182.9826903	36.58280839	-146.3998819
TCGA-BT-A42C-01	-2143.829564	-1156.486441	-3300.316005
TCGA-BT-A42E-01	-1013.964649	702.3116043	-311.6530442
TCGA-BT-A42F-01	-748.3295694	1070.203704	321.8741343
TCGA-C4-A0EZ-01	-1743.165746	-1998.201374	-3741.36712
TCGA-C4-A0F0-01	-878.4984903	-212.6071129	-1091.105603
TCGA-C4-A0F1-01	-878.6739774	-571.7683758	-1450.442353
TCGA-C4-A0F6-01	-911.0719618	-796.5458004	-1707.617762
TCGA-C4-A0F7-01	-1453.146475	-1219.033178	-2672.179653
TCGA-CF-A1HR-01	-1352.540897	-545.1825034	-1897.7234
TCGA-CF-A1HS-01	-1125.699708	-238.2426828	-1363.942391
TCGA-CF-A27C-01	-2564.081721	-1186.524272	-3750.605993
TCGA-CF-A3MF-01	-1690.068861	-1103.509116	-2793.577976
TCGA-CF-A3MG-01	-2563.106987	-1290.962422	-3854.06941
TCGA-CF-A3MH-01	-2368.151212	-972.4286648	-3340.579877
TCGA-CF-A3MI-01	-1540.454193	-523.381417	-2063.83561
TCGA-CF-A47S-01	-1930.061466	-590.6376173	-2520.699084
TCGA-CF-A47T-01	-1748.880952	-1229.365764	-2978.246716
TCGA-CF-A47V-01	-1191.237705	-463.7735437	-1655.011248
TCGA-CF-A47W-01	-2186.821238	-1222.895907	-3409.717144
TCGA-CF-A47X-01	-2156.08901	-1370.726036	-3526.815046
TCGA-CF-A47Y-01	-2088.153636	-1190.25637	-3278.410006
TCGA-CF-A5U8-01	-2190.433279	-1271.823049	-3462.256328
TCGA-CF-A5UA-01	-2107.043173	-1146.326155	-3253.369329
TCGA-CF-A7I0-01	-929.9815687	-915.7797946	-1845.761363
