sample	Cuproptosis_positive	Cuproptosis_negative	Cuproptosis_activity_score
TCGA-PK-A5HA-01	0.365684915	0.35228735	0.013397565
TCGA-PK-A5HB-01	0.488448435	0.72750103	-0.239052595
TCGA-2F-A9KO-01	-0.686196571	-0.426562427	-0.259634144
TCGA-2F-A9KP-01	0.6123349	0.458852552	0.153482349
TCGA-2F-A9KQ-01	-0.24659569	-0.603232234	0.356636544
TCGA-2F-A9KR-01	-0.314325963	-0.565774041	0.251448077
TCGA-2F-A9KT-01	-0.616795735	-0.554325921	-0.062469814
TCGA-2F-A9KW-01	0.566160314	-0.658897365	1.225057679
TCGA-4Z-AA7M-01	0.23754186	-0.367911077	0.605452937
TCGA-4Z-AA7N-01	-0.589525163	0.613801972	-1.203327134
TCGA-4Z-AA7O-01	-0.416404303	-0.639524359	0.223120056
TCGA-4Z-AA7Q-01	-0.222086115	0.61791418	-0.840000295
TCGA-4Z-AA7R-01	0.252127095	0.5070816	-0.254954505
TCGA-4Z-AA7S-01	-0.253723757	0.363171455	-0.616895213
TCGA-4Z-AA7W-01	0.242134148	-0.675238997	0.917373145
TCGA-4Z-AA7Y-01	0.612182662	-0.304451656	0.916634318
TCGA-4Z-AA80-01	0.478464042	-0.412637195	0.891101237
TCGA-4Z-AA81-01	-0.446891218	0.645671812	-1.09256303
TCGA-4Z-AA82-01	-0.515774431	0.500677032	-1.016451463
TCGA-4Z-AA83-01	-0.415879286	0.606761187	-1.022640473
TCGA-4Z-AA84-01	-0.262698451	0.695990259	-0.95868871
TCGA-4Z-AA86-01	-0.514831178	0.718720526	-1.233551705
TCGA-4Z-AA87-01	0.565970949	-0.469042243	1.035013192
TCGA-4Z-AA89-01	0.633570331	-0.606270284	1.239840615
TCGA-5N-A9KI-01	-0.562186262	0.426650688	-0.98883695
TCGA-5N-A9KM-01	0.579869939	-0.84664449	1.426514428
TCGA-BL-A0C8-01	0.614332099	-0.416315465	1.030647565
TCGA-BL-A13I-01	0.511422614	-0.592250967	1.103673581
TCGA-BL-A13J-01	-0.383720294	-0.686342035	0.30262174
TCGA-BL-A13J-11	0.686649933	-0.364232748	1.050882681
TCGA-BL-A3JM-01	-0.356092651	0.368017677	-0.724110328
TCGA-BL-A5ZZ-01	-0.630558408	-0.434681031	-0.195877377
TCGA-BT-A0S7-01	0.412490414	-0.697200223	1.109690636
TCGA-BT-A0YX-01	0.553266144	-0.401315107	0.954581252
TCGA-BT-A20J-01	-0.464999596	-0.565978813	0.100979217
TCGA-BT-A20N-01	-0.281847838	0.806564203	-1.088412041
TCGA-BT-A20N-11	0.439177284	0.362330077	0.076847207
TCGA-BT-A20O-01	-0.40122124	0.603637254	-1.004858494
TCGA-BT-A20P-01	-0.372226912	-0.731308554	0.359081642
TCGA-BT-A20Q-01	-0.20780863	-0.532805234	0.324996604
TCGA-BT-A20Q-11	0.667208559	-0.298389566	0.965598125
TCGA-BT-A20R-01	-0.493340895	0.343893264	-0.837234159
TCGA-BT-A20R-11	0.550319876	-0.408027902	0.958347778
TCGA-BT-A20T-01	-0.528910617	-0.726593595	0.197682978
TCGA-BT-A20U-01	0.43634593	-0.463988179	0.900334109
TCGA-BT-A20U-11	0.837232329	-0.586346289	1.423578618
TCGA-BT-A20V-01	-0.598942124	0.382938213	-0.981880337
TCGA-BT-A20W-01	-0.423311722	-0.558564158	0.135252435
TCGA-BT-A20W-11	0.359527164	-0.458208315	0.817735479
TCGA-BT-A20X-01	-0.403631841	0.31679382	-0.720425661
TCGA-BT-A2LA-01	-0.527901364	-0.466698884	-0.06120248
TCGA-BT-A2LA-11	0.335314314	-0.448923148	0.784237462
TCGA-BT-A2LB-01	-0.309677646	-0.617292266	0.30761462
TCGA-BT-A2LB-11	-0.358270495	0.648586258	-1.006856753
TCGA-BT-A2LD-01	-0.246507994	0.463357996	-0.70986599
TCGA-BT-A3PH-01	-0.418109266	-0.532434714	0.114325448
TCGA-BT-A3PJ-01	-0.458344139	0.763476337	-1.221820476
TCGA-BT-A3PK-01	-0.724114941	0.537363435	-1.261478376
TCGA-BT-A42C-01	-0.30496713	0.43313682	-0.73810395
TCGA-BT-A42E-01	-0.400098071	0.501486878	-0.901584949
TCGA-BT-A42F-01	0.71309022	0.587097569	0.125992651
TCGA-C4-A0EZ-01	-0.440670831	-0.292110232	-0.1485606
TCGA-C4-A0F0-01	0.609051418	0.556944199	0.052107219
TCGA-C4-A0F1-01	0.440776089	-0.401264027	0.842040116
TCGA-C4-A0F6-01	0.720534817	-0.648700344	1.369235162
TCGA-C4-A0F7-01	-0.598798171	-0.54077679	-0.058021381
TCGA-CF-A1HR-01	-0.232334852	-0.614075359	0.381740507
TCGA-CF-A1HS-01	-0.447811638	0.599473394	-1.047285032
TCGA-CF-A27C-01	-0.374923026	-0.464183446	0.08926042
TCGA-CF-A3MF-01	-0.586994576	-0.507642829	-0.079351747
TCGA-CF-A3MG-01	-0.56166671	-0.72106636	0.159399651
TCGA-CF-A3MH-01	-0.535667224	-0.616485811	0.080818587
TCGA-CF-A3MI-01	-0.323311554	-0.558959068	0.235647513
TCGA-CF-A47S-01	0.218043731	-0.397281244	0.615324976
TCGA-CF-A47T-01	0.268170461	-0.628253016	0.896423476
TCGA-CF-A47V-01	-0.476676348	-0.664020187	0.187343839
TCGA-CF-A47W-01	0.476706552	-0.7231033	1.199809852
TCGA-CF-A47X-01	0.332822931	-0.7070178	1.039840731
TCGA-CF-A47Y-01	-0.284502247	-0.626354785	0.341852538
TCGA-CF-A5U8-01	0.489569947	-0.750268934	1.239838881
TCGA-CF-A5UA-01	0.364580378	-0.908946176	1.273526554
TCGA-CF-A7I0-01	-0.442728559	-0.469903057	0.027174498
TCGA-CF-A8HX-01	-0.508591676	-0.735092399	0.226500723
TCGA-CF-A8HY-01	-0.395588736	-0.743738901	0.348150165
TCGA-CF-A9FF-01	-0.312083734	-0.863622643	0.551538908
TCGA-CF-A9FH-01	0.379004104	-0.672175268	1.051179371
TCGA-CF-A9FL-01	0.366363394	-0.816557187	1.182920581
TCGA-CF-A9FM-01	0.521909231	-0.495528253	1.017437484
TCGA-CU-A0YN-01	-0.770380352	0.894729889	-1.665110241
TCGA-CU-A0YN-11	0.481920904	-0.409956524	0.891877428
TCGA-CU-A0YO-01	0.37397707	0.356277163	0.017699907
TCGA-CU-A0YR-01	0.478413327	0.260608658	0.217804669
TCGA-CU-A0YR-11	-0.343235132	-0.764659081	0.421423949
TCGA-CU-A3KJ-01	-0.378645613	-0.361363521	-0.017282092
TCGA-CU-A3QU-01	-0.310528572	0.428991257	-0.739519829
TCGA-CU-A3YL-01	-0.661040262	-0.729777723	0.068737461
TCGA-CU-A5W6-01	0.303169833	-0.811095463	1.114265295
TCGA-CU-A72E-01	0.533416728	-0.400848558	0.934265286
TCGA-DK-A1A3-01	0.296231907	-0.65332254	0.949554447
TCGA-DK-A1A5-01	0.27990411	-0.769913822	1.049817932
TCGA-DK-A1A6-01	-0.232312681	-0.482443754	0.250131073
TCGA-DK-A1A7-01	0.342211159	-0.35290784	0.695119
TCGA-DK-A1AA-01	0.364501681	-0.60920586	0.973707541
TCGA-DK-A1AB-01	-0.638117956	0.666654126	-1.304772082
TCGA-DK-A1AC-01	0.323563856	0.361949666	-0.03838581
TCGA-DK-A1AD-01	0.540376363	0.301753443	0.238622921
TCGA-DK-A1AE-01	0.704266773	-0.474487743	1.178754516
TCGA-DK-A1AF-01	-0.737452603	-0.474299756	-0.263152848
TCGA-DK-A1AG-01	-0.429298128	-0.701059335	0.271761207
TCGA-DK-A2HX-01	-0.517989774	0.406256138	-0.924245912
TCGA-DK-A2I1-01	0.274208773	-0.894372665	1.168581438
TCGA-DK-A2I2-01	0.411514339	0.357014013	0.054500326
TCGA-DK-A2I4-01	-0.681154237	0.660171483	-1.34132572
TCGA-DK-A2I6-01	0.377521898	0.72618384	-0.348661942
TCGA-DK-A3IK-01	-0.376442816	-0.671040448	0.294597632
TCGA-DK-A3IL-01	-0.3032137	-0.35387311	0.05065941
TCGA-DK-A3IM-01	-0.361830272	0.741427063	-1.103257335
TCGA-DK-A3IN-01	-0.421673233	0.731124855	-1.152798088
TCGA-DK-A3IQ-01	-0.874600738	-0.542345265	-0.332255473
TCGA-DK-A3IS-01	0.374777975	-0.721266303	1.096044278
TCGA-DK-A3IT-01	0.307476429	0.341791288	-0.034314859
TCGA-DK-A3IU-01	-0.591010452	0.528712281	-1.119722733
TCGA-DK-A3IV-01	-0.677715168	0.545157901	-1.222873069
TCGA-DK-A3WW-01	0.521467438	-0.314153968	0.835621406
TCGA-DK-A3WX-01	-0.319722505	0.403258543	-0.722981048
TCGA-DK-A3WY-01	-0.361740368	-0.437903916	0.076163549
TCGA-DK-A3X1-01	0.216154544	-0.405629164	0.621783708
TCGA-DK-A3X2-01	0.454546306	0.801672187	-0.347125881
TCGA-DK-A6AV-01	-0.504727608	-0.41046112	-0.094266489
TCGA-DK-A6AW-01	0.437536482	-0.464548429	0.902084911
TCGA-DK-A6B0-01	0.523678036	-0.520747032	1.044425068
TCGA-DK-A6B1-01	-0.332040391	-0.474935233	0.142894842
TCGA-DK-A6B2-01	-0.356381991	-0.461101818	0.104719827
TCGA-DK-A6B5-01	-0.369785346	-0.538844384	0.169059038
TCGA-DK-A6B6-01	0.313898882	0.443701987	-0.129803105
TCGA-DK-AA6L-01	-0.723725901	0.606367798	-1.330093699
TCGA-DK-AA6M-01	-0.618797077	0.711213983	-1.33001106
TCGA-DK-AA6P-01	-0.1947694	0.496407698	-0.691177098
TCGA-DK-AA6Q-01	-0.451954108	0.42848152	-0.880435628
TCGA-DK-AA6R-01	-0.429693821	0.799803545	-1.229497365
TCGA-DK-AA6S-01	-0.489175462	-0.567355766	0.078180303
TCGA-DK-AA6T-01	0.507125401	0.449917142	0.057208259
TCGA-DK-AA6U-01	-0.402952165	0.452536399	-0.855488564
TCGA-DK-AA6W-01	-0.350352834	-0.297226134	-0.053126699
TCGA-DK-AA6X-01	0.653071089	-0.617073621	1.27014471
TCGA-DK-AA71-01	0.268342754	-0.473356719	0.741699473
TCGA-DK-AA74-01	-0.53830876	-0.667469171	0.129160411
TCGA-DK-AA75-01	0.244763143	-0.484995676	0.72975882
TCGA-DK-AA76-01	-0.411631267	-0.480763363	0.069132096
TCGA-DK-AA77-01	-0.399350414	-0.657563965	0.258213551
TCGA-E5-A2PC-01	-0.312748825	-0.477215512	0.164466686
TCGA-E5-A4TZ-01	-0.397887462	0.652142761	-1.050030223
TCGA-E5-A4U1-01	-0.450643584	-0.417987203	-0.032656382
TCGA-E7-A3X6-01	-0.434534972	0.435390564	-0.869925536
TCGA-E7-A3Y1-01	0.389418256	0.335496908	0.053921348
TCGA-E7-A4IJ-01	0.300539704	0.402436998	-0.101897293
TCGA-E7-A4XJ-01	0.387025385	-0.253405745	0.640431129
TCGA-E7-A519-01	-0.579958671	-0.671041	0.091082329
TCGA-E7-A541-01	-0.465914869	0.468346134	-0.934261002
TCGA-E7-A5KE-01	-0.275067457	0.433923947	-0.708991403
TCGA-E7-A5KF-01	0.305981688	-0.319345045	0.625326733
TCGA-E7-A677-01	-0.471012762	0.650358214	-1.121370976
TCGA-E7-A678-01	0.571670628	-0.33744778	0.909118409
TCGA-E7-A6MD-01	-0.621400222	-0.570317239	-0.051082983
TCGA-E7-A6ME-01	-0.616399446	0.470927996	-1.087327442
TCGA-E7-A6MF-01	0.283558276	0.387690458	-0.104132182
TCGA-E7-A7DU-01	-0.311066722	-0.787704366	0.476637644
TCGA-E7-A7DV-01	0.423614179	0.739728625	-0.316114446
TCGA-E7-A7PW-01	-0.392852942	-0.45883349	0.065980548
TCGA-E7-A7XN-01	0.425776386	0.744528291	-0.318751906
TCGA-E7-A85H-01	-0.620006097	-0.830020485	0.210014388
TCGA-E7-A8O7-01	-0.367608587	-0.393022437	0.02541385
TCGA-E7-A8O8-01	-0.217973167	-0.633436239	0.415463072
TCGA-E7-A97P-01	-0.237520671	-0.589290075	0.351769404
TCGA-E7-A97Q-01	-0.560287501	-0.574940485	0.014652984
TCGA-FD-A3B3-01	-0.477881299	0.770655747	-1.248537046
TCGA-FD-A3B4-01	-0.547820107	0.64588294	-1.193703047
TCGA-FD-A3B5-01	-0.725703108	0.476816043	-1.202519151
TCGA-FD-A3B6-01	-0.666098352	0.658878717	-1.324977069
TCGA-FD-A3B7-01	-0.650585688	0.664798126	-1.315383814
TCGA-FD-A3B8-01	-0.577090401	0.809096417	-1.386186818
TCGA-FD-A3N5-01	-0.509556883	0.73724556	-1.246802443
TCGA-FD-A3N6-01	0.350204069	0.510344915	-0.160140846
TCGA-FD-A3NA-01	-0.221036134	-0.336800125	0.115763991
TCGA-FD-A3SJ-01	0.229957077	0.292457554	-0.062500477
TCGA-FD-A3SL-01	-0.44132597	0.470345175	-0.911671145
TCGA-FD-A3SM-01	-0.399049145	-0.676734823	0.277685678
TCGA-FD-A3SN-01	-0.297948262	0.844270313	-1.142218575
TCGA-FD-A3SO-01	0.381558321	0.785406951	-0.40384863
TCGA-FD-A3SP-01	-0.625535482	-0.393830833	-0.231704649
TCGA-FD-A3SQ-01	-0.616287621	-0.432929667	-0.183357954
TCGA-FD-A3SR-01	-0.705831816	-0.449862931	-0.255968885
TCGA-FD-A3SS-01	-0.3010706	0.559050746	-0.860121347
TCGA-FD-A43N-01	-0.543324083	-0.730536013	0.18721193
TCGA-FD-A43P-01	-0.317887242	0.474504208	-0.792391449
TCGA-FD-A43S-01	-0.398636363	-0.693236742	0.294600379
TCGA-FD-A43U-01	-0.658186549	-0.681219766	0.023033217
TCGA-FD-A43X-01	-0.511608646	-0.731492254	0.219883608
TCGA-FD-A43Y-01	-0.544901111	0.466650266	-1.011551377
TCGA-FD-A5BR-01	-0.328793054	-0.785473018	0.456679964
TCGA-FD-A5BS-01	-0.582944013	0.362870149	-0.945814162
TCGA-FD-A5BT-01	-0.778253412	-0.418295965	-0.359957447
TCGA-FD-A5BU-01	-0.476461152	0.378815329	-0.855276481
TCGA-FD-A5BV-01	-0.321100071	-0.451459354	0.130359283
TCGA-FD-A5BX-01	-0.240585807	-0.642434269	0.401848462
TCGA-FD-A5BY-01	-0.616607895	0.489352852	-1.105960747
TCGA-FD-A5BZ-01	-0.443164039	-0.523390955	0.080226916
TCGA-FD-A5C0-01	-0.288113066	0.531812655	-0.819925721
TCGA-FD-A5C1-01	0.269834422	0.616101629	-0.346267207
TCGA-FD-A62N-01	-0.717738382	0.567327895	-1.285066276
TCGA-FD-A62O-01	-0.511744807	0.625730862	-1.137475669
TCGA-FD-A62P-01	0.179151099	-0.385239402	0.564390502
TCGA-FD-A62S-01	-0.900610266	-0.306827311	-0.593782956
TCGA-FD-A6TA-01	-0.696354444	-0.740371073	0.044016629
TCGA-FD-A6TB-01	-0.529144823	-0.747841528	0.218696705
TCGA-FD-A6TC-01	-0.648518414	0.546295838	-1.194814252
TCGA-FD-A6TD-01	-0.369728017	0.644831721	-1.014559738
TCGA-FD-A6TE-01	0.305795992	-0.383377931	0.689173923
TCGA-FD-A6TF-01	-0.553458529	0.42625084	-0.979709369
TCGA-FD-A6TG-01	-0.673935206	-0.369927851	-0.304007356
TCGA-FD-A6TH-01	-0.282656842	0.645343173	-0.928000015
TCGA-FD-A6TI-01	0.454970593	-0.518678996	0.97364959
TCGA-FD-A6TK-01	-0.361471425	-0.472802236	0.11133081
TCGA-FJ-A3Z7-01	-0.390956024	0.345294226	-0.73625025
TCGA-FJ-A3Z9-01	-0.300116372	-0.40115568	0.101039309
TCGA-FJ-A3ZE-01	-0.294052796	-0.700386523	0.406333727
TCGA-FJ-A3ZF-01	-0.233739974	0.437560477	-0.671300452
TCGA-FJ-A871-01	-0.329515526	-0.59806503	0.268549503
TCGA-FT-A3EE-01	0.404240809	0.594886	-0.190645191
TCGA-FT-A61P-01	-0.455116719	0.590797163	-1.045913882
TCGA-G2-A2EC-01	-0.453370954	-0.593094909	0.139723954
TCGA-G2-A2EF-01	0.252415163	-0.746359085	0.998774248
TCGA-G2-A2EJ-01	-0.455478482	0.819179912	-1.274658394
TCGA-G2-A2EK-01	-0.286580511	0.469346907	-0.755927418
TCGA-G2-A2EL-01	0.254369654	0.484117969	-0.229748315
TCGA-G2-A2EO-01	0.398838337	-0.423835869	0.822674207
TCGA-G2-A2ES-01	0.34013708	0.694629845	-0.354492765
TCGA-G2-A3IB-01	-0.526392297	-0.336490589	-0.189901708
TCGA-G2-A3IE-01	0.281200097	-0.665749979	0.946950076
TCGA-G2-A3VY-01	-0.410914856	-0.475931875	0.065017019
TCGA-G2-AA3B-01	0.54236963	-0.415289441	0.957659071
TCGA-G2-AA3C-01	0.307956146	-0.454755079	0.762711225
TCGA-G2-AA3D-01	0.264238907	-0.736013248	1.000252155
TCGA-G2-AA3F-01	-0.369860755	-0.223807435	-0.146053321
TCGA-GC-A3BM-01	0.285566994	0.865856326	-0.580289332
TCGA-GC-A3BM-11	-0.49580263	0.764211843	-1.260014473
TCGA-GC-A3I6-01	-0.476809176	0.552570888	-1.029380065
TCGA-GC-A3OO-01	-0.507906132	0.582726185	-1.090632317
TCGA-GC-A3RB-01	-0.258896307	0.682024075	-0.940920381
TCGA-GC-A3RC-01	-0.444804103	0.807237508	-1.25204161
TCGA-GC-A3RD-01	-0.469024557	-0.483597905	0.014573348
TCGA-GC-A3WC-01	0.326019767	0.608751677	-0.28273191
TCGA-GC-A3WC-11	0.318588868	-0.497132903	0.815721771
TCGA-GC-A3YS-01	-0.632966401	0.633029208	-1.26599561
TCGA-GC-A4ZW-01	-0.481620723	0.598128821	-1.079749544
TCGA-GC-A6I1-01	-0.386905126	0.962221505	-1.349126631
TCGA-GC-A6I3-01	-0.239390843	-0.859959586	0.620568743
TCGA-GC-A6I3-11	-0.387773644	-0.716091497	0.328317852
TCGA-GD-A2C5-01	-0.503742984	-0.608166147	0.104423162
TCGA-GD-A2C5-11	-0.552214601	0.36372116	-0.915935761
TCGA-GD-A3OP-01	-0.456546418	-0.461865184	0.005318767
TCGA-GD-A3OP-11	0.571652003	-0.339405217	0.91105722
TCGA-GD-A3OQ-01	-0.707762223	-0.538446664	-0.169315559
TCGA-GD-A3OQ-11	0.201629203	-0.368130751	0.569759954
TCGA-GD-A3OS-01	-0.776924309	0.532268107	-1.309192416
TCGA-GD-A6C6-01	-0.32798432	-0.61085038	0.282866059
TCGA-GD-A76B-01	0.288121211	-0.877138606	1.165259817
TCGA-GU-A42P-01	-0.210247413	-0.446019958	0.235772545
TCGA-GU-A42Q-01	-0.431487359	0.621351096	-1.052838455
TCGA-GU-A42R-01	-0.574871086	-0.834426858	0.259555772
TCGA-GU-A762-01	-0.46882052	-0.403346977	-0.065473544
TCGA-GU-A763-01	0.621844976	-0.784275305	1.406120281
TCGA-GU-A764-01	-0.664083035	0.395041496	-1.059124531
TCGA-GU-A766-01	-0.510465389	0.563925699	-1.074391088
TCGA-GU-A767-01	0.223689797	-0.545106632	0.768796429
TCGA-GU-AATO-01	-0.503183129	-0.486227354	-0.016955775
TCGA-GU-AATP-01	-0.481259545	-0.483158258	0.001898713
TCGA-GU-AATQ-01	0.209897715	-0.629258134	0.839155849
TCGA-GV-A3JV-01	-0.462521615	0.519496839	-0.982018454
TCGA-GV-A3JW-01	-0.39657205	-0.398964746	0.002392696
TCGA-GV-A3JX-01	-0.483335464	0.487022726	-0.97035819
TCGA-GV-A3JZ-01	-0.700020124	0.33320593	-1.033226053
TCGA-GV-A3QF-01	0.404525671	-0.648153818	1.052679489
TCGA-GV-A3QG-01	-0.527490731	-0.613164468	0.085673736
TCGA-GV-A3QH-01	-0.471723448	-0.633960043	0.162236595
TCGA-GV-A3QI-01	-0.275004594	-0.511081951	0.236077357
TCGA-GV-A3QK-01	-0.343057242	-0.765609695	0.422552453
TCGA-GV-A40E-01	0.204997856	0.62310343	-0.418105574
TCGA-GV-A40G-01	-0.157087947	0.436788431	-0.593876378
TCGA-GV-A6ZA-01	0.38574141	-0.657522503	1.043263913
TCGA-H4-A2HO-01	0.583709817	-0.66007564	1.243785457
TCGA-H4-A2HQ-01	-0.486428912	-0.566416772	0.07998786
TCGA-HQ-A2OE-01	-0.275313854	0.713229771	-0.988543626
TCGA-HQ-A2OF-01	-0.216767634	-0.317286962	0.100519328
TCGA-HQ-A5ND-01	0.304488448	-0.815633241	1.120121689
TCGA-HQ-A5NE-01	-0.620053425	0.724345639	-1.344399064
TCGA-K4-A3WS-01	-0.714055717	-0.658992101	-0.055063616
TCGA-K4-A3WU-01	0.365893209	-0.748147695	1.114040904
TCGA-K4-A3WV-01	-0.537898714	-0.774280793	0.236382079
TCGA-K4-A3WV-11	0.398336819	-0.721282779	1.119619598
TCGA-K4-A4AB-01	-0.718266844	-0.396964622	-0.321302222
TCGA-K4-A4AC-01	-0.456803449	-0.70328136	0.24647791
TCGA-K4-A54R-01	-0.382411863	0.490024395	-0.872436258
TCGA-K4-A54R-11	-0.517739827	0.692062193	-1.20980202
TCGA-K4-A5RH-01	-0.565838763	0.538456192	-1.104294954
TCGA-K4-A5RI-01	0.586092155	-0.738207137	1.324299292
TCGA-K4-A5RI-11	-0.551198111	-0.595309534	0.044111423
TCGA-K4-A5RJ-01	0.713168164	0.479415308	0.233752856
TCGA-K4-A6FZ-01	-0.395372416	0.856640561	-1.252012977
TCGA-K4-A6MB-01	-0.269823752	0.465561726	-0.735385478
TCGA-K4-A83P-01	-0.79137102	-0.407813361	-0.383557659
TCGA-K4-AAQO-01	0.320170784	-0.603130626	0.92330141
TCGA-KQ-A41N-01	-0.358960922	-0.330472129	-0.028488793
TCGA-KQ-A41O-01	-0.319374252	-0.787275733	0.467901481
TCGA-KQ-A41P-01	0.608759594	-0.55875773	1.167517324
TCGA-KQ-A41Q-01	-0.464214988	-0.366549123	-0.097665866
TCGA-KQ-A41R-01	-0.265826832	-0.765390864	0.499564032
TCGA-KQ-A41S-01	-0.76719587	-0.454190559	-0.313005311
TCGA-LC-A66R-01	-0.607249631	0.592273211	-1.199522841
TCGA-LT-A5Z6-01	-0.290324106	-0.468220219	0.177896113
TCGA-LT-A8JT-01	0.354043082	0.496745999	-0.142702917
TCGA-MV-A51V-01	0.286415701	0.563735069	-0.277319368
TCGA-PQ-A6FI-01	-0.254987477	0.66823832	-0.923225797
TCGA-PQ-A6FN-01	0.436001969	0.80660549	-0.370603521
TCGA-R3-A69X-01	-0.361888513	-0.559284244	0.197395731
TCGA-S5-A6DX-01	-0.218160055	-0.663462127	0.445302072
TCGA-S5-AA26-01	-0.329147241	-0.776743616	0.447596375
