sample	FDX1	LIAS	LIPT1	DLD	DLAT	PDHA1	PDHB	MTF1	GLS	CDKN2A
TCGA-OR-A5KO-01	0.0807574	0.041865947	0.030524473	0.264924125	0.520461375	0.3253446	0.047943511	0.031261743	0.126350363	0.2653499
TCGA-OR-A5KT-01	0.080388333	0.0429359	0.031424509	0.23156615	0.091432225	0.32205434	0.044000478	0.028634886	0.134587438	0.193776275
TCGA-OR-A5KU-01	0.08520495	0.047832133	0.029554964	0.2562774	0.073029625	0.34234422	0.040756489	0.034068914	0.118240488	0.240404725
TCGA-OR-A5KV-01	0.070056633	0.04147818	0.030933127	0.199171225	0.103195825	0.11333406	0.047131844	0.031249314	0.119066	0.190324175
TCGA-OR-A5KW-01	0.079522233	0.04667126	0.039243809	0.24234085	0.07393685	0.19631404	0.038059833	0.030269843	0.120134563	0.25707015
TCGA-OR-A5KX-01	0.069388	0.052222573	0.030941245	0.259567975	0.0608618	0.39321348	0.077232067	0.031281029	0.136059475	0.03896545
TCGA-OR-A5KY-01	0.0711204	0.05137056	0.033608791	0.26340305	0.27458975	0.19474668	0.089290678	0.0314008	0.1207728	0.252661575
TCGA-OR-A5KZ-01	0.073604933	0.05133608	0.0274836	0.229786225	0.193707225	0.04967294	0.076281044	0.029127286	0.1186927	0.223670875
TCGA-OR-A5L3-01	0.06366305	0.042728406	0.029653645	0.20438065	0.05594995	0.46683	0.050168922	0.029352914	0.115419488	0.24031095
TCGA-OR-A5L4-01	0.077533917	0.05572762	0.044673291	0.188041025	0.57590775	0.186608	0.051291789	0.029976186	0.126569088	0.260889875
TCGA-OR-A5L5-01	0.086288967	0.04541336	0.034464891	0.248266675	0.072246825	0.26260532	0.050835	0.029919871	0.120998238	0.2391093
TCGA-OR-A5L6-01	0.079839683	0.048452071	0.065816282	0.259773875	0.095047425	0.04552274	0.071332944	0.032368857	0.080137075	0.264353825
TCGA-OR-A5L8-01	0.0828161	0.054600647	0.0334041	0.2613716	0.1063853	0.520133	0.050205456	0.033568543	0.124376988	0.271068575
TCGA-OR-A5L9-01	0.078312233	0.049650867	0.03363959	0.257967825	0.07196305	0.31533072	0.097031333	0.032459729	0.093963113	0.205433725
TCGA-OR-A5LA-01	0.078247783	0.047835747	0.0354866	0.2621909	0.058842175	0.2776801	0.044208644	0.030943771	0.117529363	0.23418415
TCGA-OR-A5LB-01	0.091689433	0.051711517	0.057250382	0.26896345	0.262461925	0.05085082	0.045964744	0.031799429	0.1087504	0.263204875
TCGA-OR-A5LC-01	0.0940899	0.041398087	0.027674373	0.104286575	0.12566095	0.41061342	0.048588322	0.031075729	0.12348665	0.199762725
TCGA-OR-A5LD-01	0.065811417	0.04057878	0.030020709	0.246292025	0.4465315	0.05931268	0.096611089	0.031083929	0.131892488	0.039744325
TCGA-OR-A5LE-01	0.0818181	0.05311336	0.032300391	0.23244835	0.1034873	0.05446276	0.054319511	0.034733171	0.106682825	0.0563735
TCGA-OR-A5LG-01	0.063033367	0.048247709	0.030349091	0.260795225	0.05596145	0.04528108	0.042155922	0.031853557	0.12531825	0.2226571
TCGA-OR-A5LH-01	0.07490315	0.042736933	0.029354127	0.1914398	0.210707625	0.39237124	0.090761378	0.0294941	0.120444775	0.240533525
TCGA-OR-A5LJ-01	0.079509433	0.04099374	0.030261527	0.1641463	0.298591825	0.1904638	0.049551256	0.031992686	0.12864515	0.2689681
TCGA-OR-A5LK-01	0.10534995	0.044486793	0.042630764	0.253159475	0.080783775	0.0487237	0.048938633	0.030458986	0.1292422	0.210107525
TCGA-OR-A5LL-01	0.086397183	0.064637847	0.034930445	0.2258844	0.161048675	0.33468	0.044430422	0.038604271	0.113980938	0.2635786
TCGA-OR-A5LM-01	0.099235417	0.057231467	0.0323601	0.26615495	0.096541325	0.04811112	0.074640689	0.035199257	0.1228865	0.24877425
TCGA-OR-A5LN-01	0.083868467	0.047837629	0.078524645	0.204997595	0.147532325	0.32064696	0.048224478	0.033674557	0.127404613	0.240197125
TCGA-OR-A5LO-01	0.111233667	0.063891433	0.070530264	0.26921535	0.65717625	0.3792696	0.091198178	0.033544486	0.129846463	0.2646345
TCGA-OR-A5LP-01	0.099481467	0.044542473	0.034001209	0.251355375	0.100692825	0.37596434	0.042664444	0.03117	0.11203075	0.2364042
TCGA-OR-A5LR-01	0.08282795	0.049870473	0.067094309	0.0727301	0.07422715	0.2891231	0.060157744	0.0326791	0.08151235	0.263748925
TCGA-OR-A5LS-01	0.077116383	0.05124964	0.029746145	0.208021175	0.302307	0.12791468	0.040640967	0.035988143	0.121751488	0.27097235
TCGA-OR-A5LT-01	0.080682583	0.044396494	0.050468745	0.1919968	0.7551075	0.04745358	0.044225767	0.029748443	0.1162557	0.253391275
TCGA-OU-A5PI-01	0.093706017	0.051851073	0.072320355	0.210446225	0.461003475	0.36645184	0.101665878	0.036418971	0.118507025	0.2706103
TCGA-P6-A5OF-01	0.109361783	0.048911393	0.0287704	0.256067825	0.14862585	0.08885854	0.0429742	0.038858843	0.10034375	0.265553875
TCGA-PA-A5YG-01	0.080252733	0.04829032	0.032332518	0.258442675	0.233989775	0.04700532	0.049554478	0.030418814	0.11666005	0.2274525
TCGA-PK-A5H8-01	0.074263067	0.049598027	0.052308982	0.26712435	0.07535785	0.04998276	0.051664844	0.032791171	0.122634925	0.2629783
TCGA-PK-A5H9-01	0.0651392	0.050924467	0.039872909	0.196445975	0.057405725	0.30465154	0.047945344	0.031244129	0.096876	0.26728785
