ADIPOGENESIS	ALLOGRAFT_REJECTION	ANDROGEN_RESPONSE	ANGIOGENESIS	APICAL_JUNCTION	APICAL_SURFACE	APOPTOSIS	BILE_ACID_METABOLISM	CHOLESTEROL_HOMEOSTASIS	COAGULATION	COMPLEMENT	DNA_REPAIR	E2F_TARGETS	EPITHELIAL_MESENCHYMAL_TRANSITION	ESTROGEN_RESPONSE_EARLY	ESTROGEN_RESPONSE_LATE	FATTY_ACID_METABOLISM	G2M_CHECKPOINT	GLYCOLYSIS	HEDGEHOG_SIGNALING	HEME_METABOLISM	HYPOXIA	IL2_STAT5_SIGNALING	IL6_JAK_STAT3_SIGNALING	INFLAMMATORY_RESPONSE	INTERFERON_ALPHA_RESPONSE	INTERFERON_GAMMA_RESPONSE	KRAS_SIGNALING_DN	KRAS_SIGNALING_UP	MITOTIC_SPINDLE	MTORC1_SIGNALING	MYC_TARGETS_V1	MYC_TARGETS_V2	MYOGENESIS	NOTCH_SIGNALING	OXIDATIVE_PHOSPHORYLATION	P53_PATHWAY	PANCREAS_BETA_CELLS	PEROXISOME	PI3K_AKT_MTOR_SIGNALING	PROTEIN_SECRETION	REACTIVE_OXYGEN_SPECIES_PATHWAY	SPERMATOGENESIS	TGF_BETA_SIGNALING	TNFA_SIGNALING_VIA_NFKB	UNFOLDED_PROTEIN_RESPONSE	UV_RESPONSE_DN	UV_RESPONSE_UP	WNT_BETA_CATENIN_SIGNALING	XENOBIOTIC_METABOLISM	Cuproptosis Positive	Cuproptosis negative
ACAA2	CRTAM	MAF	TNFRSF21	CTNND1	TMEM8B	MCL1	PHYH	LDLR	F12	F7	ERCC3	GINS4	COL4A2	MLPH	RET	CYP4A11	NDC80	HK2	THY1	GYPE	GPI	PHLDA1	TYK2	CCR7	IFI27	EIF2AK2	HTR1D	ETV5	RACGAP1	TFRC	BUB3	MYC	ACTC1	DLL1	SDHB	SFN	FOXA2	PEX11A	GSK3B	PPT1	GCLM	DDX25	NCOR2	CXCL3	EXOSC5	IRS1	EPHX1	AXIN1	NQO1		
ETFB	IFNG	FADS1	CCND2	CDH1	THY1	IL1B	SLC27A5	TM7SF2	CFI	CTSS	DDB2	H2AZ1	VCAN	HSPB8	MYB	DECR1	KIF11	LDHA	SLIT1	GYPC	MXI1	IL2RB	IL13RA1	EDN1	IRF9	RSAD2	MAST3	ITGB2	PREX1	DDIT3	EIF3D	SRM	MYOM1	FZD5	NNT	ZMAT3	GCK	RETSAT	MAP2K3	AP3S1	TXN	PRM2	SERPINE1	MAFF	ASNS	PTPRM	GRPEL1	NKD1	ALAS1		
ACOX1	CD3G	ZBTB10	COL5A2	LIMA1	PCSK9	SPTAN1	CYP7B1	ALDOC	MMP2	LGMN	POLR1C	LIG1	IGFBP3	EGR3	TPBG	ECH1	NUSAP1	EXT1	CDK6	EPB42	SLC2A1	CTLA4	TLR2	CD40	OASL	MX2	SLC6A3	AKT2	ARHGEF3	TMEM97	XPO1	PA2G4	MYL4	MAML2	ATP5PO	DDB2	MAFB	SLC27A2	CDKN1A	BET1	SOD2	TCP11	JUNB	NFKB2	ARFGAP1	AKT3	ICAM1	WNT5B	GSTM4		
ACADM	CD86	HMGCR	ITGAV	VCL	EPHB4	DIABLO	CYP27A1	EBP	C3	PLG	XPC	MAD2L1	TGFBI	KRT19	EGR3	ECI1	CKS2	SLC25A10	HEY2	SLC4A1	P4HA1	NFIL3	IFNGR2	CXCL9	EIF2AK2	IRF1	CLDN8	PPBP	NUMA1	IFRD1	FBL	GNL3	MYBPH	NOTCH1	ATP5MC3	EI24	INS	PEX13	RAC1	CLCN3	PRDX4	PIAS2	SMAD1	TNFAIP2	WFS1	SIPA1L1	FEN1	CUL1	CYP2C18		
HADH	IL10	SPCS3	SERPINA5	SHROOM2	DCBLD2	BAX	PEX26	SCD	F9	C1QA	PCNA	MCM2	SPARC	LRIG1	ARL3	ELOVL5	KIF2C	GUSB	NRP2	RHCE	ADM	CD83	IL10RB	IL6	IFIT2	OAS3	TGM1	G0S2	SPTBN1	PLOD2	EIF4A1	NOLC1	MYH7	PSENEN	NDUFS7	PERP	PDX1	PEX14	RIPK1	AP2S1	SELENOS	PAPOLB	SMAD6	HBEGF	SRPRB	NR1D2	ARRB2	JAG1	PTS		
IDH1	UBE2N	INSIG1	KCNJ8	NECTIN3	GHRL	BIK	AGXT	PMVK	CTSO	CASP1	POLR2I	MCM4	LUM	KDM4B	OLFM1	FABP1	MKI67	PFKFB1	TLE3	RHAG	P4HA2	IKZF2	IL6	IL1B	CXCL10	TNFSF10	PCDHB1	GABRA3	KIF2C	TUBA4A	CANX	WDR43	MYH8	WNT5A	ATP5F1A	DDIT4	ABCC8	SCP2	AKT1S1	CLTC	PDLIM1	OAZ3	PPP1R15A	KLF6	DNAJB9	ATRN	JUNB	MAML1	CYB5A		
SORBS1	BCL10	NGLY1	APP	NECTIN2	LYN	IL1A	PEX7	MVK	TMPRSS6	GZMA	SUPT4H1	MCM5	LAMC1	PGR	NPY1R	FABP2	AURKB	PGAM1	TLE1	TAL1	ENO1	IL10	IL1R2	TLR2	TAP1	IRF9	THRB	IRF8	KIF5B	PSAT1	NAP1L1	RABEPK	ACTN2	CUL1	NDUFV1	ATF3	IAPP	HSD3B7	ACTR2	AP2M1	TXNRD2	PHF7	TGIF1	BIRC3	TSPYL2	ANXA2	CTSV	KAT2A	ACOX2		
ACADS	CD4	UBE2J1	JAG1	CLDN14	GAS1	BID	CROT	LPL	MMP9	ADAM9	POLD3	MCM7	LOX	RHOBTB3	SCNN1A	HADH	TPX2	PYGB	L1CAM	MARCHF8	PFKP	TNFRSF18	IL3RA	IL1R1	SP110	CXCL10	YPEL1	BIRC3	TTK	CORO1A	CBX3	NOP16	TNNI1	WNT2	COX5B	BAX	SRP9	GNPAT	PRKAR2A	RER1	LAMTOR5	ODF1	FURIN	PLAUR	NFYA	ADD3	DGAT1	GNAI1	EPHX1		
UCK1	LCK	ELK4	COL3A1	PTPRC	FLOT2	CDKN1A	CYP39A1	SC5D	PROZ	CALM3	POLR3GL	MELK	LAMC2	TPD52L1	XBP1	HIBCH	SMC4	AK4	PLG	SPTB	AK4	DHRS3	IFNAR1	CD69	DDX60	IFI44	RYR2	FGF9	APC	LDHA	CCT3	TBRG4	CRYAB	DTX4	UQCRH	SESN1	NEUROG3	ABCD2	YWHAB	KIF1B	G6PD	ACRBP	SMAD3	ZFP36	CALR	CDKN1B	ATF3	WNT6	LCAT		
SCP2	NCK1	ABCC4	SPP1	THY1	PLAUR	GADD45A	ABCA3	FADS2	MMP1	C1QC	POLR3C	MMS22L	CCN2	ELOVL2	AREG	HMGCL	BUB1	P4HA1	NKX6-1	UROD	FAM162A	ECM1	TNFRSF1A	ICAM1	UBE2L6	BST2	GDNF	DCBLD2	CEP250	MTHFD2	C1QBP	DDX18	SGCG	SAP30	NDUFA1	FDXR	FOXO1	SLC25A17	HRAS	ARF1	MSRA	YBX2	FKBP1A	ICAM1	KHSRP	ATXN1	CASP3	PTCH1	SLC35D1		
