ADIPOGENESIS	ALLOGRAFT_REJECTION	ANDROGEN_RESPONSE	ANGIOGENESIS	APICAL_JUNCTION	APICAL_SURFACE	APOPTOSIS	BILE_ACID_METABOLISM	CHOLESTEROL_HOMEOSTASIS	COAGULATION	COMPLEMENT	DNA_REPAIR	E2F_TARGETS	EPITHELIAL_MESENCHYMAL_TRANSITION	ESTROGEN_RESPONSE_EARLY	ESTROGEN_RESPONSE_LATE	FATTY_ACID_METABOLISM	G2M_CHECKPOINT	GLYCOLYSIS	HEDGEHOG_SIGNALING	HEME_METABOLISM	HYPOXIA	IL2_STAT5_SIGNALING	IL6_JAK_STAT3_SIGNALING	INFLAMMATORY_RESPONSE	INTERFERON_ALPHA_RESPONSE	INTERFERON_GAMMA_RESPONSE	KRAS_SIGNALING_DN	KRAS_SIGNALING_UP	MITOTIC_SPINDLE	MTORC1_SIGNALING	MYC_TARGETS_V1	MYC_TARGETS_V2	MYOGENESIS	NOTCH_SIGNALING	OXIDATIVE_PHOSPHORYLATION	P53_PATHWAY	PANCREAS_BETA_CELLS	PEROXISOME	PI3K_AKT_MTOR_SIGNALING	PROTEIN_SECRETION	REACTIVE_OXYGEN_SPECIES_PATHWAY	SPERMATOGENESIS	TGF_BETA_SIGNALING	TNFA_SIGNALING_VIA_NFKB	UNFOLDED_PROTEIN_RESPONSE	UV_RESPONSE_DN	UV_RESPONSE_UP	WNT_BETA_CATENIN_SIGNALING	XENOBIOTIC_METABOLISM	Cuproptosis Positive	Cuproptosis negative
PIM3	IL7	B2M	APOH	ADAM15	SULF2	IL18	ACSL1	GUSB	CTSB	SERPINA1	RFC2	RPA2	COL11A1	MREG	CCN5	ALDH9A1	MAD2L1	HS2ST1	CDK5R1	AHSP	ANGPTL4	NCOA3	HAX1	ITGB8	HERC6	PML	GAMT	GALNT3	TUBGCP5	PSMG1	TXNL4A	RRP12	MYL6B	FBXW11	NDUFB6	NOTCH1	INSM1	SOD1	PLCB1	COG2	CDKN2D	ACRV1	ID1	BTG2	PDIA6	YTHDC1	OLFM1	HDAC5	NDRG2		
YWHAG	IL4	MAP7	PRG2	PTK2	ADAM10	IGFBP6	MLYCD	FASN	MBL2	CTSO	ELL	RPA3	THBS1	FAM102A	BLVRB	HADHB	NEK2	MPI	VLDLR	SPTA1	JUN	CD79B	BAK1	PTAFR	SAMD9	IFIH1	PRODH	ETS1	KIF4A	PSPH	HNRNPR	PPRC1	TPM2		ATP5F1E	RRAD	SST	ABCB1	RAF1	VAMP3	MGST1	CLPB	LEFTY2	DUSP1	ATP6V0D1	PPARG	IGFBP2	CCND2	UPB1		
NDUFAB1	TNF	DNAJB9	JAG2	HADH	BRCA1	PRF1	ABCG8	LGALS3	F13B	CD40LG	TAF10	SUV39H1	FAP	MSMB	FLNB	ECHS1	KIF22	GNPDA1	OPHN1	MAP2K3	SERPINE1	AHR	EBI3	ADM	CMPK2	UBE2L6	RYR1	MMP9	MAPRE1	NAMPT	PSMB2	TCOF1	MYL2		COX5A	DCXR	ELP4	ISOC1	CAMK4	ERGIC3	ABCC1	CRISP2	CDKN1C	MAP3K8	PREB	ADGRL2	LYN	FRAT1	ECH1		
GPD2	CD247	FKBP5	LUM	LAMB3	GATA3	DAP	AQP9	ATF5	TIMP1	CBLB	RRM2B	TMPO	BGN	STC2	PDCD4	ACADS	HMMR	AKR1A1	LDB1	BNIP3L	LOX	TNFRSF1B	INHBE	PLAUR	IFITM3	IFI27	GPR19	WNT7A	FGD6	CDKN1A	HPRT1	MCM5	CKMT2		UQCRC2	NINJ1	SRPRB	YWHAH	RPTOR	DOP1A	FTL	ZC2HC1C	TRIM33	ETS2	SEC31A	DLG1	CLTB	CSNK1E	PTGES		
ADIG	IL2	HERC3	CXCL6	CLDN11	AFAP1L2	CCND1	ISOC1	ANXA5	CTSV	PDP1	SUPT5H	UBE2T	SERPINH1	RETREG1	CALCR	CA2	KPNA2	PPFIA4	DPYSL2	SLC22A4	GCK	NDRG1	CRLF2	NFKB1	RTP4	ADAR	SLC29A3	IGFBP3	BRCA2	BHLHE40	MCM6	HK2	BIN1		COX6A1	FOS	PAK3	EPHX2	CFL1	VAMP4	ATOX1	AKAP4	RAB31	F3	GOSR2	ATP2B4	BCL2L11	RBPJ	PDK4		
ECHS1	HLA-DMA	PGM3		CDH4	IL2RG	BTG3	NR1H4	TP53INP1	MMP8	C4BPB	RPA3	WDR90	FSTL1	SIAH2	IGFBP4	HSD17B10	CDKN3	B3GAT1		CLIC2	PPFIA4	BCL2L1	TNFRSF1B	INHBA	STAT2	LY6E	EDN2	SPP1	PLK1	HSPA9	NME1	CBX3	MYH1		ATP5F1D	S100A10	G6PC2	ABCD1	CDK4	VPS4B	STK25	CCNA1	TJP1	SDC4	SERP1	NIPBL	LHX2	FZD8	AHCY		
QDPR	STAT1	HOMER2		IRS1	CD160	F2R	PEX19	CHKA	A2M	PLEK	SNAPC5	CDK1	POSTN	ZNF185	DNAJC12	ALDH1A1	CDC25A	CHPF2		TRAK2	MAFF	GABARAPL1	CD14	OSM	SAMD9L	STAT2	GPRC5C	ETV1	RASA1	HSPA5	SNRPD1	PLK1	ENO3		COX6C	FBXW7	PKLR	HMGCL	TRAF2	NAPA	EGLN2	CCT6B	SLC20A1	EGR1	NFYB	PEX14	NFKBIA	TP53	COMT		
CS	IRF4	ELL2		SORBS3	ADIPOR2	SATB1	NPC1	GSTM2	MMP10	GP9	SSRP1	MCM3	THY1	SLC19A2	TIAM1	ACADVL	H2AX	G6PD		GCLC	DDIT4	LIF	PTPN1	TNFSF10	LY6E	CXCL9	C5	CLEC4A	NEK2	EGLN3	EEF1B2	PHB	FLII		ATP5PF	PLK3	LMO2	ACSL5	GNGT1	GNAS	ERCC2	PACRG	CDK9	IL6	NHP2	MYC	MSX1	SKP2	AOX1		
ECH1	SRGN	UAP1		CLDN8	SLC22A12	BNIP3L	HSD17B11	ACAT2	MASP2	PLAUR	RFC3	TOP2A	SPP1	SLC1A4	TSPAN13	HSD17B4	CDC25B	MDH2		KEL	SLC2A3	TIAM1	PTPN2	TNFSF15	IFITM2	IL10RA	ZC2HC1C	CCND2	WASF1	LGMN	HSPD1	MCM4	FXYD1		NDUFB3	XPC	SRP14	ALDH9A1	UBE2N	STX7	SBNO2	GSG1	ID3	TNF	DCTN1	RASA2	H2AX	HEY2	CFB		
SLC25A1	INHBA	SEC24D		EVL	NTNG1	CASP4	AMACR	AVPR1A	FGG	C3	RPA2	MCM6	TNC	FHL2	CXCL12	CA4	PLK4	CHST6		RANBP10	IGFBP3	BMPR2	IL1B	IFNGR2	HELZ2	PLA2G4A	EDAR	TSPAN7	TOP2A	PNP	CAD	CDK4	TPM3		IDH3B	AK1		DHCR24	ADCY2	SEC22B	JUNB	THEG	NOG	KDM6B	SLC7A5	FZD2	NR4A1	HEY1	DDAH2		
ACADL	TLR3	LMAN1		CLDN15	SCUBE1	TNFRSF12A	CYP46A1	PLSCR1	C8A	F2	ELOA	BIRC5	TFPI2	BCL2	RAB31	ADH1C	CDC6	PGLS		TRIM10	NFIL3	MAP3K8	CSF1	ADGRE1	CXCL11	TRIM21	KCNMB1	ITGBL1	TRIO	XBP1	RPL18	DUSP2	DMD		OGDH	TRIAP1		ELOVL5	CDKN1B	VPS45	PTPA	HSPA4L	ARID4B	NFKB1	SSR1	BMPR1A	GLS	HDAC11	HGFAC		
TOB1	ZAP70	PMEPA1		THBS3	CX3CL1	CREBBP	PEX13	CLU	PLAU	CASP4	TAF12	CCNB2	NID2	PMAIP1	PKP3	ADH7	CCNF	PGAM2		TSPO2	FOS	RHOB	IL18R1	IL12B	TRIM21	USP18	TENT5C	EMP1	ARHGEF11	SLA	PGK1	MYBBP1A	IGFBP3		NDUFB8	BAK1		NUDT19	VAV3	STX16	LSP1	CST8	IFNGR2	LIF	EDEM1	LPAR1	CDC34		F11		
GRPEL1	CD74	INPP4B		NECTIN4	CROCC	RHOB	IDH1	ERRFI1	ADAM9	STX4	NELFCD	RRM2	ITGB5	AREG	CYP26B1	PTS	MCM5	CHST1		UROS	RBPJ	MYC	TNF	CSF1	PARP14	PTGS2	STAG3	CDADC1	KATNB1	DDX39A	DDX18	UTP20	CHRNB1		SURF1	CCND2		PRDX5	FGF6	YKT6	NDUFA6	DCC	ID2	PTX3	EDC4	PRKCA	MMP14		CYP26A1		
CRAT	CD40	RRP12		JAM3		GPX3	PEX11A	TRIB3	GSN	CTSC	TAF13	HMGB2	MMP3	OVOL2	FKBP5	MAOA	LMNB1	GPC1		XK	HK1	S100A1	PF4	CXCL6	TRIM26	EPSTI1	KRT4	KIF5C	PRC1	HSPE1	RPS2	PRMT3	SPEG		COX6B1	APAF1		CTPS1	ECSIT	SNX2	HHEX	HSPA1L	PPP1CA	FOSL1	EIF2AK3	MGMT	STK25		MCCC2		
GBE1	TRAF2	SELENOP		CDH11		PDGFRB	HSD17B6	CXCL16	CAPN2	USP15	TAF6	BUB1B	VIM	TSKU	SIAH2	HAO2	E2F3	GFUS		SNCA	CITED2	ETFBKMT	CXCL13	TNFRSF9	PARP12	C1S	SLC25A23	TRIB2	ANLN	ACLY	LDHA	FARSA	FHL1		NDUFB5	PDGFA		IDE	RALB	ARFGEF1	GLRX	GSTM3	SPTBN1	NR4A1	MTHFD2	PRKCE	PDAP1		SERPINA6		
CAVIN2	B2M	NDRG1		ITGB4		TSPO	EPHX2	TNFRSF12A	PLAT	CR1	TAF9	RFC3	LOXL1	ADCY9	ISG20	HSD17B7	KIF15	ALG1		MARK3	ISG20	CAPG	LTBR	LYN	NMI	DDX58	INSL5	SDCCAG8	CDK5RAP2	SLC7A11	RUVBL2	MAP3K6	ACTN3		NDUFA4	NDRG1		SLC23A2	ARF1	CLTA	NDUFS2	DNAJB8	WWTR1	JAG1	SRPRA	RXRA	ABCB1		GNMT		
SCARB1	BCL3	KRT19		RASA1		CCND2	PRDX5	ACTG1	FN1	DUSP6	GTF2A2	EZH2	FBLN5	RASGRP1	TMPRSS3	MCEE	CHEK1	GFPT1		UBAC1	GALK1	ST3GAL4	FAS	ACVR2A	RNF31	IL15	GP1BA	PCP4	SMC3	SSR1	RNPS1	LAS1L	TCAP		NDUFB1	RALGDS		PEX5	MKNK1	CLN5	PRNP	IL13RA2	BCAR3	CCL4	NOLC1	LTBP1	BSG		BLVRB		
PEMT	LTB	ITGAV		AKT2		XIAP	PXMP2	JAG1	CTSH	SERPINB2	VPS37D	CHEK1	COL12A1	MUC1	SERPINA3	ACAT2	UBE2S	PRPS1		CA1	WSB1	PENK	IL17RA	LDLR	HLA-C	NLRC5	KMT2D	CFHR2	TUBGCP2	GLA	EIF2S1	PUS1	MYLK		COX4I1	SERPINB5		BCL10	CDK1	M6PR	IPCEF1	CAMK4	THBS1	GCH1	ERN1	LDLR	SELENOW		HACL1		
CHCHD10	IFNGR1	B4GALT1		TMEM8B		TIMP1	BBOX1	LGMN	OLR1	GPD2	NME1	SMC4	ELN	KAZN	WFS1	AUH	NSD2	GOT1		CA2	PYGM	IRF4	CXCL10	BDKRB1	CASP1	NMI	ABCG4	ALDH1A2	ESPL1	SQSTM1	RANBP1	HSPE1	MYL3		COX7C	DGKA		NR1I2	PTEN	SGMS1		LPIN1	FNTA	CCL2	FKBP14	RBPMS	IRF1		MAOA		
AK2	CCR5	MAK		LAMA3		CTNNB1	FADS2	FBXO6	SPARC	CFH	RNMT	MKI67	CDH11	SLC27A2	MAPT	HPGD	HMGB3	MDH1		BSG	STC1	CST7	IL9R	HRH1	TRIM14	IDO1	MYH7	NR0B2	MAP1S	PDK1	MCM5	SLC29A2	PYGM		UQCRFS1	CYFIP2		TSPO	ARHGDIA	USO1		ZC3H14	HDAC1	RCAN1	ZBTB17	CACNA1A	RXRB		KYNU		
APOE	CD40LG	SPDEF		RSU1		IRF1	ALDH9A1	GPX8	RGN	FN1	ERCC2	CDC20	COMP	FKBP4	PDLIM3	FH	DBF4	SLC35A3		FOXO3	ZNF292	WLS	STAM2	F3	TDRD7	PSMB10	BRDT	ALDH1A3	ARHGAP27	PSMC2	IARS1	DCTPP1	LDB3		SDHC	KLF4		CNBP	GRK2	TSG101		COIL	UBE2D3	DUSP2	WIPI1	RGS4	TFRC		DHPS		
UQCR10	HLA-DOA	GSR		ICAM1		HSPB1	APOA1	PNRC1	C8B	CD36	POLE4	PLK1	SPOCK1	CXCL12	RBBP8	HMGCS2	TACC3	GALK1		KLF1	BTG1	TLR7	TNFRSF12A	BST2	DHX58	CXCL11	PTGFR	AMMECR1	DOCK4	PRDX1	UBE2E1	SUPV3L1	COX6A2		ATP6V1F	IP6K2		MSH2	FGF17	DNM1L		PHKG2	LTBP2	EHD1	YIF1A	COL5A2	PPIF		SERPINE1		
TANK	GLMN	KRT8		CLDN18		ADD1	OPTN	ANTXR2	LAMP2	CA2	VPS37B	KIF2C	BMP1	TMPRSS3	GJB3	ALAD	MCM2	EGFR		CDC27	PLIN2	IKZF4	STAT2	PTGIR	PARP9	ITGB7	KCNN1	SATB1	SAC3D1	SERP1	MYC	SORD	FABP3		COX7A2	ADA		DHRS3	DDIT3	LMAN1		KIF2C	RHOA	IER2	CCL2	PTPN21	CDKN1C		SLC6A12		
ANGPTL4	IL6	LIFR		GTF2F1		TIMP2	GSTK1	MAL2	C9	PSMB9	NT5C3A	DLGAP5	IL32	RARA	PRLR	GPD1	CDKN2C	ANGPTL4		KAT2B	CSRP2	GBP4	HMOX1	CD55	PNPT1	SAMHD1	SELENOP	GUCY1A1	INCENP	TRIB3	AP3S1	IMP4	MYL7		SUCLG1	TNFSF9		DIO1	IRAK4	YIPF6		RPL39L		REL	DKC1	PRKAR2B	HLA-F		GCH1		
ACO2	HLA-E	PLPP1		TSC1		BTG2	ABCG4	CD9	PROS1	APOBEC3G	SNAPC4	AURKB	LAMA3	IL17RB	SLC1A4	ACO2	CDKN1B	CITED2		NARF	VLDLR	RGS16	LEPR	CALCRL	TRIM25	HERC6	IFI44L	CSF2	ARHGAP5	NFIL3	RFC4	GRWD1	ITGB5		NDUFS6	KLK8		SLC25A4	TIAM1	ARFIP1		SLC2A5		CFLAR	EIF4EBP1	GJA1	CREG1		DHRS7		
FAH	CD2	STEAP4		LAMC2		TIMP3	ALDH8A1	PPARG	CLU	FCN1	AAAS	CDC25A	TIMP1	CBFA2T3	FOS	CBR1	FANCC	PLOD2		GCLM	JMJD6	SPP1	CBL	CSF3	PSME1	CMPK2	PROP1	APOD	GSN	HMGCS1	DUT	UNG	CHRNA1		NDUFA7	PRKAB1		PRDX1	CDK2	ANP32E		PCSK4		RIPK2	EIF4A1	BCKDHB	APOM		PAPSS2		
ACLY	CCL5	GUCY1A1		NRAP		LEF1	NR3C2	GLDC	F2RL2	GZMK	POLR1H	TRIP13	QSOX1	TFF3	PLAAT3	GRHPR	NASP	QSOX1		FBXO7	EXT1	IL13	CD9	GPR132	WARS1	SAMD9L	LGALS7	TOR1AIP2	NET1	GOT1	PSMA4	MPHOSPH10	SSPN		FH	STOM		IDI1	SFN	TSPAN8		AURKA		NFKBIE	EIF2S1	DMAC2L	BMP2		ALDH2		
IFNGR1	FAS	SRP19		CTNNA1		CASP1	ABCA6	STX5	CD9	PDGFB	RFC4	H2AX	TIMP3	UGCG	SLC7A5	ACOT2	STAG1	ME2		H1-0	F3	SLC29A2	CXCL3	IL4R	EPSTI1	RTP4	BMPR1B	CMKLR1	LRPPRC	TPI1	RPS3		COL3A1		NDUFV2	SOCS1		HRAS	PRKCB	DST		MLLT10		NR4A3	TATDN2	SERPINE1	TGFBRAP1		HSD11B1		
SLC5A6	FASLG	CCND3		CD99		GPX1	RETSAT	STARD4	CFH	CLU	ITPA	HMMR	VCAM1	CCND1	SERPINA5	G0S2	GINS2	SPAG4		HEBP1	PDK3	NFKBIZ	TGFB1	NLRP3	UBA7	PTPN2	PDK2	TMEM176B	RABGAP1	ELOVL6	SNRPG		KCNH1		OXA1L	PLK2		MVP	GNA14	SCRN1		NOS1		PHLDA1	XPOT	AMPH	NAT1		SLC35B1		
JAGN1	TLR6	IQGAP2		FSCN1		BCL10	FADS1	CTNNB1	PREP	CASP10	POM121	E2F8	CCN1	SLC22A5	IMPA2	MDH2	FBXO5	P4HA2		HBD	ANKZF1	IL4R	MAP3K8	IL15RA	PSME2	PARP14	DCC	ADGRA2	FLNB	ASNS	PHB2		GJA5		NDUFC1	CASP1		ABCC8	EIF4E	SEC31A		ART3		IER5	LSM4	MIOS	CYB5R1		KARS1		
EPHX2	PF4	RAB4A		COL16A1		IGF2R	PECR	TMEM97	LTA4H	LRP1	BRF2	BRCA1	EDIL3	WFS1	DHCR7	HSP90AA1	POLQ	GAPDHS		NUDT4	UGP2	MXD1	ITGA4	ADORA2B	B2M	TNFAIP2	SNCB	LAPTM5	ARAP3	PSMD14	SSB		MYF6		UQCR11	RCHY1		CLN6	CLTC	VAMP7		CCNB2		TNFSF9	CHAC1	CITED2	RRAD		CA2		
IDH3G	TGFB2	SLC26A2		GNAI2		CDC25B	PEX12	NIBAN1	GP9	CTSD	RFC5	MYBL2	CALD1	PTGES	MYOF	BCKDHB	EZH2	ENO2		FBXO9	ALDOB	CSF2	CD38	GCH1	TRIM5	IFITM2	COL2A1	CD37	FGD4	PSMA4	EIF4H		MYH2		NDUFA5	PCNA		CAT	TSC2	SCAMP3		NPHP1		GEM	STC2	COL1A2	POLE3		LPIN2		
GPX3	CD79A	SMS		TGFBI		AIFM3	CAT	PDK3	DUSP14	S100A9	SAC3D1	POLD1	MAGEE1	WWC1	CDH1	UROS	RAD21	GOT2		RAD23A	STC2	FAH	JUN	OLR1	C1S	PLSCR1	UGT2B17	CAB39L	ABR	PPA1	SRSF3		MAPK12		CS	RPS27L		ACSL4	FGF22	AP2B1		CLGN		GADD45A	PDIA5	INSIG1	IL6		CAT		
ELMOD3	INHBB	ZMIZ1		PALS1		CD38	GNMT	PLAUR	CTSK	WAS	CLP1	RACGAP1	FBLN1	CCN5	EMP2	YWHAH	STMN1	EXT2		CROCCP2	ERRFI1	CTSZ	SOCS1	PTGER2	LAP3	SOCS1	NPY4R	CIDEA	CENPJ	HPRT1	CCT4		PGAM2		ATP6V1G1	RB1		IDH2	PPP1CA	RAB22A		MAST2		CXCL10	NABP1	FYN	YKT6		CYP2S1		
ORM1	ELANE	SGK1		JUP		PPP3R1	ABCA9	SEMA3B	GDA	BRPF3	NME4	CKS1B	SGCB	MYC	OVOL2	LDHA	SUV39H1	SLC25A13		TMCC2	ENO3	ITGAE	ACVRL1	CSF3R	LAMP3	CASP1	DLK2	ZNF639	NCK1	AURKA	TFDP1		MYOG		ATP5PB	PPP1R15A		ABCC5	DUSP3	AP3B1		MTOR		PLK2	LSM1	WDR37	ACAA1		RAP1GAP		
RETSAT	SPI1	MERTK		ACTN2		HGF	ACSL5	GNAI1	CASP9	PLAT	PRIM1	KPNA2	ECM1	ITPK1	DLG5	CRYZ	PRIM2	HMMR		BLVRA	PNRC1	MUC1	PIM1	MYC	GBP4	ICAM1	WNT16	IL1B	CENPF	HMGCR	EIF2S2		MYH4		HCCS	POLH		SOD2	HSP90B1	TPD52		CDKN3		BHLHE40	SDAD1	ZMIZ1	CLCN2		FBP1		
ESRRA	MAP3K7	HPGD		INSIG1		CLU	LONP2	ABCA2	APOC1	CDA	VPS28	MSH2	LAMA2	TMEM164	SOX3	RDH16	E2F1	PDK3		GATA1	HMOX1	MAPKAPK2	TNFRSF21	RELA	NCOA7	WARS1	SLC6A14	GYPC	KIF20B	GAPDH	CDK4		AEBP1		HADHB	RAB40C		SLC35B2	IL4	ATP6V1H		ZNRF4		EGR2	EIF4A2	PMP22	AGO2		RBP4		
HIBCH	IL15	ANKH		LAYN		ATF3	DHCR24	ATXN2	CRIP2	MT3	TSG101	CDKN3	FSTL3	ARL3	CHPT1	INMT	CHAF1A	CXCR4		RBM38	PGF	TNFRSF21	PIK3R5	TNFAIP6	TMEM140	PSME1	ITGB1BP2	LY96	WASF2	DHFR	SNRPD3		HBEGF		ATP5PD	ERCC5		FDPS	STAT2	GBF1		AGFG1		SOCS3	EIF4E	CDON	SOD2		GCKR		
SUCLG1	CTSS	GNAI3		PFN1		LGALS3	ABCA8	NFIL3	KLK8	CASP7	USP11	ATAD2	TPM2	MED13L	KLK10	UGDH	NOLC1	GPC4		PRDX2	GAPDHS	NT5E	GRB2	IL7R	CD74	ISG20	SLC12A3	FLT4	MYH10	DHCR7	PSMD1		MEF2C		PDHA1	CDH13		ALB	SLA	KRT18		SNAP91		SLC2A6	IARS1	PIK3R3	PPP1R2		CDA		
STAT5A	CD47	SRF		CNN2		LUM	PFKM	ALCAM	SERPINC1	PRSS36	TAF1C	RPA1	INHBA	SEMA3B	ELOVL5	GSTZ1	GSPT1	ECD		RNF123	CHST2	FLT3LG	IRF1	IL18	GMPR	IRF2	YBX2	SPON1	CENPE	IMMT	RACK1		NOS1		NDUFA8	DDIT3		FADS1	EGFR	CAV2		PSMG1		PTGER4	DDX10	NOTCH2	RHOB		MTHFD1		
ITGA7	PRF1	SLC38A2		TAOK2		LMNA	DIO1	FABP5	ANXA1	PFN1	TARBP2	STMN1	DAB2	KRT18	RAPGEFL1	IDH3B	BUB3	GNE		MINPP1	TMEM45A	CCND2	DNTT	GABBR1	PSMA3	TRIM14	CKM	BMP2	CYTH2	UCHL5	GOT2		CNN3		DLD	TGFB1		STS	PLA2G12A	ATP1A1		CHFR		DUSP5	GEMIN4	SYNJ2	RET		ADH7		
MRAP	IL12RB1	HMGCS1		AMIGO2		GADD45B	RXRA	S100A11	ITIH1	GZMB	POLH	TIPIN	EMP3	SLC16A1	JAK2	MDH1	SMC1A	B4GALT2		TNS1	BCAN	TRAF1	CSF2	CD82	PROCR	FCGR1A	CPB1	PLEK2	MID1	YKT6	PABPC4		IGFBP7		OPA1	FUCA1		SMARCC1	MAPK10	BNIP3		TNP2		SERPINB2	TARS1	SMAD7	PDLIM3		DHRS1		
PLIN2	LCP2	ARID5B		MDK		CDK2	FDXR	CPEB2	PRSS23	RNF4	CETN2	TK1	BASP1	TJP3	SLC26A2	CRAT	ILF3	FUT8		CTSE	ATF3	LCLAT1	IL2RA	TNFSF9	IL7	MARCHF1	MAGIX	IGF2	KLC1	INSIG1	CCT5		CACNA1H		SLC25A11	H2AW		ITGB1BP1	CALR	ZW10		EZH2		NFIL3	ALDH18A1	MAP1B	EPCAM		VNN1		
CYC1	SOCS1	CDC14B		INPPL1		IFNB1	TTR		FBN1	ZEB1	POLD1	CDCA8	ITGA5	SLC26A2	SLC22A5	ETFDH	CDC7	MIOX		DMTN	CAV1	IL3RA	PTPN11	NMUR1	IFI30	SOCS3	ARHGDIG	NR1H4	MARK4	SQLE	PRPS2		GSN		ATP5ME	TP63		SIAH1	THEM4	GALC		HBZ		SERPINE1	DDIT4	TENT4A	DNAJA1		CNDP2		
ALDH2	CDKN2A	TNFAIP8		CLDN6		RETSAT	KLF1		MST1	CASP5	CANT1	ESPL1	MGP	FCMR	ITPK1	CD36	INCENP	VCAN		HDGF	AMPD3	CYFIP1	IL12RB1	IL2RB	IRF2	JAK2	CALML5	SNAP25	ARL8A	IGFBP5	ACP1		CACNG1		PDHB	HSPA4L		SLC25A19	RIT1	ADAM10		ARL4A		TRIB1	HSPA9	PTEN	SULT1A1		SLC6A6		
RNF11	STAT4	XRCC5		ARPC2		SMAD7	SLC29A1		F3	IRF1	PDE4B	NCAPD2	VEGFA	SULT2B1	PCP4	ECI2	CKS1B	GPC3		XPO7	GPC3	BCL2	CCR1	TLR1	CSF1	HLA-DMA	KRT1	ACE	CEP57	IFI30	PRPF31		PPFIA4		ATP5MF	EPHX1		CDK7	MKNK2	RAB5A		SLC12A2		TIPARP	SEC11A	DYRK1A	CHKA		FETUB		
ALDOA	CD7	GPD1L		SRC		SOD1	BCAR3		KLF7	CPQ	DGCR8	RANBP1	CXCL1	SNX24	PAPSS2	SDHD	EXO1	B3GALT6		MKRN1	NDST1	FGL2	CNTFR	LPAR1	IL15	PARP12	MTHFR	PRRX1	UXT	CYP51A1	CCT2		MB		NDUFB7	ABHD4		RXRG	PPP2R1B	GOLGA4		BRAF		RELA	EIF4A3	NEK7	CYP1A1		CROT		
SULT1A1	HLA-DOB	ACTN1		PBX2		PTK2	LCK		CTSE	CDK5R1	RAD51	MRE11	WNT5A	TFAP2C	NAB2	ACSL5	H2AZ1	HSPA5		SMOX	IRS2	PRNP	PLA2G2A	IRAK2	CNP	TNFAIP6	ABCB11	C3AR1	ARHGAP4	FGL2	KARS1		SPHK1		IDH2	H2AJ		ALDH1A1	CAB39L	SEC24D		VDAC3		BIRC2	POP4	SPOP	ATP6V1F		GAD1		
DDT	CD8A	RPS6KA3		MAPK14		ENO2	PEX11G		ITGB3	ATOX1	SURF1	KIF4A	SDC1	TTC39A	FAM102A	HSDL2	TFDP1	ME1		TFDP2	SAP30	EEF1AKMT1	CXCL9	RIPK2	TENT5A	TRIM26	MYOT	TRAF1	CDC42EP4	ENO1	DEK		SCHIP1		MTX2	TRAF4		UGT2B17	ARPC3	AP1G1		POMC		CXCL6	ERO1A	F3	CDO1		AKR1C2		
SDHB	ICAM1	TSC22D1		MAP4K2		HMOX1	SLCO1A2		CAPN5	PIK3CA	PNP	LMNB1	PLOD2	GJA1	BCL2	HMGCS1	CCND1	ADORA2B		MXI1	GAA	PUS1	CD44	MMP14	IL4R	VCAM1	CELSR2	TLR8	SASS6	IDI1	EIF4G2		MEF2D		VDAC3	CTSF		CADM1	PITX2	MAPK1		IFT88		LITAF	CEBPG	ERBB2	ALDOA		TKFC		
CD151	CCL4	PDLIM5		PTEN		IER3	ALDH1A1		CSRP1	TMPRSS6	ADA	KIF22	PCOLCE	PRSS23	LSR	SDHC	KPNB1	UGP2		HBB	SDC4	ITGAV	IL7	P2RX7	CMTR1	CD274	KLK7	ID2	LATS1	CYB5B	XPOT		SMTN		MDH1	IER5		SERPINA6	NCK1	GOSR2		TKTL1		TNFAIP6	BAG3	GRK5	NPTXR		IGF1		
SLC27A1	GZMB	TMEM50A		CALB2		BCL2L10	SULT1B1		KLKB1	CPM	NME3	UNG	GREM1	OLFM1	CACNA2D2	CD1D	JPT1	MIF		MOSPD1	STBD1	NCS1	CXCL11	SLC11A2	CD47	CIITA	THNSL2	TMEM100	OPHN1	SHMT2	SRM		CDKN1A		ATP5MC2	TAX1BP3		CLN8	IL2RG	RPS6KA3		NEK2		CD44	KDELR3	DUSP1	EIF2S3		SSR3		
BCKDHA	CSF1	ADAMTS1		CNTN1		CD2	NR1I2		MSRB2	RCE1	GTF3C5	SMC1A	ITGB1	RAPGEFL1	CA2	GCDH	LBR	NANP		SLC25A37	IER3	DCPS	CCL7	SELL	LPAR6	NAMPT	CHRNG	PLAUR	WASL	TXNRD1	UBA2		GAA		IMMT	TSC22D1		RDH11	PFN1	STAM		STAM2		INHBA	CEBPB	VLDLR	CNP		GABARAPL1		
C3	IL11	NCOA4		TSPAN4		GCH1	GC		TFPI2	CALM1	NT5C	CCNE1	COL5A3	ASB13	ASCL1	GPD2	HUS1	ZNF292		SLC30A1	PKLR	AMACR	LTB	P2RY2	MOV10	SELP	NR4A2	GADD45G	MAP3K11	G6PD	KPNB1		TPD52L1		MDH2	RGS16		CTBP1	FASLG	ABCA1		H1-6		PLAU	CNOT2	CAV1	GRINA		TMBIM6		
LEP	STAB1	AKAP12		VCAN		MMP2	ABCA4		MMP3	DOCK9	AK1	CDCA3	RHOB	TIPARP	ACOX2	ALDH3A1	KIF20B	STC2		ABCB6	IGFBP1	FAM126B	IL17RB	ABCA1	CASP8	GPR18	CD40LG	CBX8	SOS1	SLC9A3R1	PSMA7		HSPB2		SLC25A3	HRAS		HSD11B2	NOD1	SNAP23		GMCL1		MYC	SHC1	COL11A1	BID		CD36		
